example_id,question_id,target_variable,question_family,answer_space,variant_id,prompt_preset,grid_text,carrying_key,observed_action,greedy_answer,greedy_answers_json,greedy_modal_answer,greedy_answer_probs_json,greedy_entropy,greedy_valid_parse_rate_for_row,greedy_repeated_agreement_rate_for_row,ground_truth_label,belief_action_consistency,mc_belief_action_consistency,mc_answer,mc_yes_no_answer,mc_answers_json,mc_answer_probs_json,mc_entropy,mc_valid_parse_rate_for_row,sampled_answer,answer_probs_json,entropy,logprob_t0_raw_output,raw_answer_probs_t0_json,answer_probs_t0_json,logprob_answer_t0,logprob_yes_no_answer_t0,entropy_t0,valid_parse_rate_t0_for_row,logprob_t07_raw_output,raw_answer_probs_t07_json,answer_probs_t07_json,logprob_answer_t07,logprob_yes_no_answer_t07,entropy_t07,valid_parse_rate_t07_for_row,logprob_t1_raw_output,raw_answer_probs_t1_json,answer_probs_t1_json,logprob_answer_t1,logprob_yes_no_answer_t1,entropy_t1,valid_parse_rate_t1_for_row
together_ai_openai_gpt-oss-20b_rooms2_doorkey_22_step_001,wall_down,wall_down,wall_directional,label3,,cardinal_action_explicit,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ G _ _ _ _ # 
3 # _ _ _ # _ _ _ # 
4 # # # D # # # # # 
5 # _ _ _ A _ _ _ # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ # K _ _ # 
8 # # # # # # # # # ",False,DOWN,no,"[""no"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes""]",yes,"{""invalid"": 0.0, ""no"": 0.1, ""unknown"": 0.0, ""yes"": 0.8999999999999999}",0.46899559358928133,1.0,0.1,yes,potentially_consistent,inconsistent,yes,yes,"[""yes"", ""yes"", ""yes"", ""yes"", ""no"", ""yes"", ""yes"", ""yes"", ""yes"", ""no""]","{""invalid"": 0.0, ""no"": 0.2, ""unknown"": 0.0, ""yes"": 0.7999999999999999}",0.7219280948873623,1.0,yes,"{""invalid"": 0.0, ""no"": 1.030577008267419e-09, ""unknown"": 1.1677967426844637e-09, ""yes"": 0.9999999978016263}",6.859101733290252e-08,B,"{""A"": 8.6289137846667e-09, ""B"": 0.9999999826335504, ""C"": 8.6289137846667e-09, ""no"": 1.0862199411908392e-10, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999827421724, ""unknown"": 8.6289137846667e-09, ""yes"": 8.6289137846667e-09}",no,no,4.872034680028957e-07,1.0,A,"{""A"": 0.9999999999999305, ""B"": 9.37911878316036e-15, ""C"": 1.340501933884999e-14, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 4.678811484399485e-14}","{""invalid"": 0.0, ""no"": 9.37911878316036e-15, ""unknown"": 1.340501933884999e-14, ""yes"": 0.9999999999999772}",yes,yes,1.0876569377377903e-12,1.0,A,"{""A"": 0.9999999953294005, ""B"": 1.030577008267419e-09, ""C"": 1.1677967426844637e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 2.4722257236632374e-09}","{""invalid"": 0.0, ""no"": 1.030577008267419e-09, ""unknown"": 1.1677967426844637e-09, ""yes"": 0.9999999978016263}",yes,yes,6.859101733290252e-08,1.0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_22_step_001,hit_wall_after_down,hit_wall_after_down,action_effects,label3,,cardinal_action_explicit,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ G _ _ _ _ # 
3 # _ _ _ # _ _ _ # 
4 # # # D # # # # # 
5 # _ _ _ A _ _ _ # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ # K _ _ # 
8 # # # # # # # # # ",False,DOWN,yes,"[""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes""]",yes,"{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}",1.6017132519074586e-16,1.0,1.0,yes,inconsistent,inconsistent,yes,yes,"[""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes""]","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}",1.6017132519074586e-16,1.0,yes,"{""invalid"": 0.0, ""no"": 1.0305771174110146e-09, ""unknown"": 2.1817317746797606e-09, ""yes"": 0.9999999967876911}",9.817365153425123e-08,A,"{""A"": 0.9999997943874568, ""B"": 1.1911845118718992e-07, ""C"": 3.0117889773700765e-08, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 5.6376202249270626e-08}","{""invalid"": 0.0, ""no"": 1.1911845118718992e-07, ""unknown"": 3.0117889773700765e-08, ""yes"": 0.999999850763659}",yes,yes,3.707647467324323e-06,1.0,A,"{""A"": 0.999999999846104, ""B"": 1.0113373287428538e-10, ""C"": 1.695781222244227e-11, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 3.580456499113921e-11}","{""invalid"": 0.0, ""no"": 1.0113373287428536e-10, ""unknown"": 1.6957812222442266e-11, ""yes"": 0.9999999998819084}",yes,yes,4.135053207656254e-09,1.0,A,"{""A"": 0.999999987533698, ""B"": 1.0305771174110146e-09, ""C"": 2.1817317746797606e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 9.253993176600168e-09}","{""invalid"": 0.0, ""no"": 1.0305771174110146e-09, ""unknown"": 2.1817317746797606e-09, ""yes"": 0.9999999967876911}",yes,yes,9.817365153425123e-08,1.0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_52_step_004,wall_down,wall_down,wall_directional,label3,,cardinal_action_explicit,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ A _ _ _ # 
3 # _ _ K # _ _ _ # 
4 # # # # # # # D # 
5 # _ _ _ # _ _ _ # 
6 # _ _ _ _ G _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # ",False,DOWN,no,"[""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no""]",no,"{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}",1.6017132519074586e-16,1.0,1.0,yes,potentially_consistent,inconsistent,yes,unknown,"[""no"", ""no"", ""yes"", ""no"", ""no"", ""no"", ""yes"", ""yes"", ""yes"", ""yes""]","{""invalid"": 0.0, ""no"": 0.5, ""unknown"": 0.0, ""yes"": 0.5}",1.0,1.0,yes,"{""invalid"": 0.0, ""no"": 1.051216406409384e-07, ""unknown"": 3.8672127294610574e-08, ""yes"": 0.9999998562062321}",3.5965887416436757e-06,B,"{""A"": 7.614989712298512e-09, ""B"": 0.9999999855561835, ""C"": 6.720204834316996e-09, ""no"": 1.0862199447084892e-10, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999856648055, ""unknown"": 6.720204834316996e-09, ""yes"": 7.614989712298512e-09}",no,no,4.084920630736341e-07,1.0,B,"{""A"": 1.3659981679216067e-13, ""B"": 0.9999999999978739, ""C"": 1.989477473256187e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999978739, ""unknown"": 1.989477473256187e-12, ""yes"": 1.3659981679216067e-13}",no,no,8.623736570019358e-11,1.0,A,"{""A"": 0.9999998379388126, ""B"": 1.051216406409384e-07, ""C"": 3.8672127294610574e-08, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.82674194573169e-08}","{""invalid"": 0.0, ""no"": 1.051216406409384e-07, ""unknown"": 3.8672127294610574e-08, ""yes"": 0.9999998562062321}",yes,yes,3.5965887416436757e-06,1.0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_52_step_004,hit_wall_after_down,hit_wall_after_down,action_effects,label3,,cardinal_action_explicit,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ A _ _ _ # 
3 # _ _ K # _ _ _ # 
4 # # # # # # # D # 
5 # _ _ _ # _ _ _ # 
6 # _ _ _ _ G _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # ",False,DOWN,no,"[""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no""]",no,"{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}",1.6017132519074586e-16,1.0,1.0,yes,potentially_consistent,inconsistent,yes,unknown,"[""yes"", ""yes"", ""no"", ""no"", ""yes"", ""yes"", ""yes"", ""no"", ""no"", ""no""]","{""invalid"": 0.0, ""no"": 0.5, ""unknown"": 0.0, ""yes"": 0.5}",1.0,1.0,yes,"{""invalid"": 0.0, ""no"": 3.011788821795904e-08, ""unknown"": 4.965600293351784e-08, ""yes"": 0.9999999202261088}",2.0724052041535777e-06,B,"{""A"": 5.233700691362614e-09, ""B"": 0.9999999763198015, ""C"": 1.826741034956067e-08, ""no"": 1.7908738946489426e-10, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999764988889, ""unknown"": 1.826741034956067e-08, ""yes"": 5.233700691362614e-09}",no,no,6.474663759601739e-07,1.0,B,"{""A"": 1.0113411866784514e-10, ""B"": 0.999999999797333, ""C"": 1.0113411866784514e-10, ""no"": 3.988110394549001e-13, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999997977318, ""unknown"": 1.0113411866784514e-10, ""yes"": 1.0113411866784514e-10}",no,no,7.0077258739763165e-09,1.0,A,"{""A"": 0.9999999019586863, ""B"": 3.011788821795904e-08, ""C"": 4.965600293351784e-08, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.8267422609990045e-08}","{""invalid"": 0.0, ""no"": 3.011788821795904e-08, ""unknown"": 4.965600293351784e-08, ""yes"": 0.9999999202261088}",yes,yes,2.0724052041535777e-06,1.0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_73_step_000,wall_left,wall_left,wall_directional,label3,,cardinal_action_explicit,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ G # _ _ _ # 
3 # _ _ _ _ _ _ _ # 
4 # _ # # # D # # # 
5 # _ _ _ # _ _ K # 
6 # _ _ _ # A _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # ",False,LEFT,yes,"[""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes""]",yes,"{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}",1.6017132519074586e-16,1.0,1.0,yes,inconsistent,inconsistent,yes,yes,"[""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes""]","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}",1.6017132519074586e-16,1.0,yes,"{""invalid"": 0.0, ""no"": 2.472225169274184e-09, ""unknown"": 1.9253708977595708e-09, ""yes"": 0.9999999956024039}",1.327728765309935e-07,A,"{""A"": 0.9999999982809675, ""B"": 8.026140102151846e-10, ""C"": 4.868100051104182e-10, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 4.2960832165713506e-10}","{""invalid"": 0.0, ""no"": 8.026140102151847e-10, ""unknown"": 4.868100051104183e-10, ""yes"": 0.999999998710576}",yes,yes,4.1170802930639455e-08,1.0,A,"{""A"": 0.9999999999989233, ""B"": 3.988102788567477e-13, ""C"": 3.988102788567477e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 2.790364476761462e-13}","{""invalid"": 0.0, ""no"": 3.9881027885674773e-13, ""unknown"": 3.9881027885674773e-13, ""yes"": 0.9999999999992024}",yes,yes,3.4004153200619525e-11,1.0,A,"{""A"": 0.9999999941029236, ""B"": 2.472225169274184e-09, ""C"": 1.9253708977595708e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.4994803628780476e-09}","{""invalid"": 0.0, ""no"": 2.472225169274184e-09, ""unknown"": 1.9253708977595708e-09, ""yes"": 0.9999999956024039}",yes,yes,1.327728765309935e-07,1.0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_73_step_000,hit_wall_after_left,hit_wall_after_left,action_effects,label3,,cardinal_action_explicit,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ G # _ _ _ # 
3 # _ _ _ _ _ _ _ # 
4 # _ # # # D # # # 
5 # _ _ _ # _ _ K # 
6 # _ _ _ # A _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # ",False,LEFT,yes,"[""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes""]",yes,"{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}",1.6017132519074586e-16,1.0,1.0,yes,inconsistent,inconsistent,yes,yes,"[""yes"", ""no"", ""yes"", ""yes"", ""yes"", ""no"", ""no"", ""yes"", ""yes"", ""no""]","{""invalid"": 0.0, ""no"": 0.4, ""unknown"": 0.0, ""yes"": 0.6}",0.9709505944546686,1.0,yes,"{""invalid"": 0.0, ""no"": 1.9253712858936133e-09, ""unknown"": 3.174400593048058e-09, ""yes"": 0.9999999949002282}",1.5271726738664655e-07,A,"{""A"": 0.9999999902457484, ""B"": 1.6991340441012284e-09, ""C"": 1.4994805309953714e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 6.555637027231713e-09}","{""invalid"": 0.0, ""no"": 1.6991340441012284e-09, ""unknown"": 1.4994805309953714e-09, ""yes"": 0.9999999968013854}",yes,yes,9.806884626962957e-08,1.0,A,"{""A"": 0.9999999987947799, ""B"": 1.0305748442152805e-09, ""C"": 8.4594734669236e-11, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 9.005067282372363e-11}","{""invalid"": 0.0, ""no"": 1.0305748442152805e-09, ""unknown"": 8.4594734669236e-11, ""yes"": 0.9999999988848305}",yes,yes,3.5206125608461255e-08,1.0,A,"{""A"": 0.9999999902815024, ""B"": 1.925371285893613e-09, ""C"": 3.1744005930480576e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 4.61872560944385e-09}","{""invalid"": 0.0, ""no"": 1.9253712858936133e-09, ""unknown"": 3.174400593048058e-09, ""yes"": 0.9999999949002282}",yes,yes,1.5271726738664655e-07,1.0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_88_step_007,wall_left,wall_left,wall_directional,label3,,cardinal_action_explicit,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ _ _ _ _ # 
3 # _ _ _ # _ _ _ # 
4 # # _ # # _ # # # 
5 # _ _ _ # A _ _ # 
6 # _ _ _ # _ _ _ # 
7 # G _ _ # _ _ _ # 
8 # # # # # # # # # ",True,LEFT,yes,"[""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes""]",yes,"{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}",1.6017132519074586e-16,1.0,1.0,yes,inconsistent,inconsistent,yes,yes,"[""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes""]","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}",1.6017132519074586e-16,1.0,yes,"{""invalid"": 0.0, ""no"": 1.6991343628609382e-09, ""unknown"": 4.618726062675226e-09, ""yes"": 0.9999999936821395}",1.8650673587712454e-07,A,"{""A"": 0.9999999901451893, ""B"": 4.076011500759667e-09, ""C"": 2.181731738556453e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 3.5970675243195946e-09}","{""invalid"": 0.0, ""no"": 4.076011500759667e-09, ""unknown"": 2.181731738556453e-09, ""yes"": 0.9999999937422568}",yes,yes,1.8539977120783896e-07,1.0,A,"{""A"": 0.9999999999998193, ""B"": 1.1426083999613171e-13, ""C"": 3.9136502761293974e-14, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 2.7382721268580435e-14}","{""invalid"": 0.0, ""no"": 1.1426083999613171e-13, ""unknown"": 3.9136502761293974e-14, ""yes"": 0.9999999999998467}",yes,yes,6.8766628088912795e-12,1.0,A,"{""A"": 0.9999999912099137, ""B"": 1.6991343628609382e-09, ""C"": 4.618726062675226e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 2.4722259102454328e-09}","{""invalid"": 0.0, ""no"": 1.6991343628609382e-09, ""unknown"": 4.618726062675226e-09, ""yes"": 0.9999999936821395}",yes,yes,1.8650673587712454e-07,1.0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_88_step_007,hit_wall_after_left,hit_wall_after_left,action_effects,label3,,cardinal_action_explicit,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ _ _ _ _ # 
3 # _ _ _ # _ _ _ # 
4 # # _ # # _ # # # 
5 # _ _ _ # A _ _ # 
6 # _ _ _ # _ _ _ # 
7 # G _ _ # _ _ _ # 
8 # # # # # # # # # ",True,LEFT,yes,"[""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes""]",yes,"{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}",1.6017132519074586e-16,1.0,1.0,yes,inconsistent,inconsistent,yes,yes,"[""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes""]","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}",1.6017132519074586e-16,1.0,yes,"{""invalid"": 0.0, ""no"": 3.597067218649832e-09, ""unknown"": 2.4722257344684914e-09, ""yes"": 0.999999993930707}",1.803405338395167e-07,A,"{""A"": 0.9999999910749854, ""B"": 1.4994807029216583e-09, ""C"": 2.1817315491366788e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 5.243802280055616e-09}","{""invalid"": 0.0, ""no"": 1.4994807029216585e-09, ""unknown"": 2.181731549136679e-09, ""yes"": 0.9999999963187878}",yes,yes,1.120374960633114e-07,1.0,A,"{""A"": 0.9999999980587069, ""B"": 1.472942434645119e-09, ""C"": 2.4697873312189227e-10, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 2.2137195048673808e-10}","{""invalid"": 0.0, ""no"": 1.472942434645119e-09, ""unknown"": 2.4697873312189227e-10, ""yes"": 0.9999999982800788}",yes,yes,5.357776713147297e-08,1.0,A,"{""A"": 0.9999999911293083, ""B"": 3.597067218649832e-09, ""C"": 2.4722257344684914e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 2.8013987666449695e-09}","{""invalid"": 0.0, ""no"": 3.597067218649832e-09, ""unknown"": 2.4722257344684914e-09, ""yes"": 0.999999993930707}",yes,yes,1.803405338395167e-07,1.0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_016,wall_right,wall_right,wall_directional,label3,,cardinal_action_explicit,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ # _ _ _ # 
3 # _ _ _ _ _ _ _ # 
4 # _ # # # # # # # 
5 # _ _ _ # _ _ _ # 
6 # _ _ A # _ _ _ # 
7 # _ _ _ D _ _ G # 
8 # # # # # # # # # ",True,RIGHT,yes,"[""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes""]",yes,"{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}",1.6017132519074586e-16,1.0,1.0,yes,inconsistent,inconsistent,yes,yes,"[""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes""]","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}",1.6017132519074586e-16,1.0,yes,"{""invalid"": 0.0, ""no"": 1.167796884858035e-09, ""unknown"": 1.9253715639227906e-09, ""yes"": 0.9999999969068316}",9.485896702201193e-08,A,"{""A"": 0.9999999933478585, ""B"": 1.9253713328632243e-09, ""C"": 2.801398759267995e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.9253713328632243e-09}","{""invalid"": 0.0, ""no"": 1.9253713328632248e-09, ""unknown"": 2.8013987592679953e-09, ""yes"": 0.9999999952732299}",yes,yes,1.4215417055658167e-07,1.0,A,"{""A"": 0.9999999999981051, ""B"": 3.9881027885656244e-13, ""C"": 6.81435031771842e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 8.146614404307105e-13}","{""invalid"": 0.0, ""no"": 3.9881027885656244e-13, ""unknown"": 6.81435031771842e-13, ""yes"": 0.9999999999989198}",yes,yes,4.5526419739833136e-11,1.0,A,"{""A"": 0.9999999955835444, ""B"": 1.167796884858035e-09, ""C"": 1.9253715639227906e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.323287233573141e-09}","{""invalid"": 0.0, ""no"": 1.167796884858035e-09, ""unknown"": 1.9253715639227906e-09, ""yes"": 0.9999999969068316}",yes,yes,9.485896702201193e-08,1.0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_016,hit_wall_after_right,hit_wall_after_right,action_effects,label3,,cardinal_action_explicit,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ # _ _ _ # 
3 # _ _ _ _ _ _ _ # 
4 # _ # # # # # # # 
5 # _ _ _ # _ _ _ # 
6 # _ _ A # _ _ _ # 
7 # _ _ _ D _ _ G # 
8 # # # # # # # # # ",True,RIGHT,yes,"[""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes""]",yes,"{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}",1.6017132519074586e-16,1.0,1.0,yes,inconsistent,inconsistent,yes,yes,"[""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes""]","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}",1.6017132519074586e-16,1.0,yes,"{""invalid"": 0.0, ""no"": 2.5217353491714713e-07, ""unknown"": 1.1911834338132867e-07, ""yes"": 0.9999996287081218}",8.802925739691254e-06,A,"{""A"": 0.9999997519324709, ""B"": 1.1911847214011035e-07, ""C"": 3.412798111580395e-08, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 9.482107583596845e-08}","{""invalid"": 0.0, ""no"": 1.1911847214011035e-07, ""unknown"": 3.412798111580395e-08, ""yes"": 0.9999998467535468}",yes,yes,3.8074701852976416e-06,1.0,A,"{""A"": 0.9999999999976303, ""B"": 7.994528075781884e-14, ""C"": 2.334039653167249e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 2.05634882889135e-12}","{""invalid"": 0.0, ""no"": 7.994528075781884e-14, ""unknown"": 2.334039653167249e-13, ""yes"": 0.9999999999996867}",yes,yes,1.3724413506254491e-11,1.0,A,"{""A"": 0.9999994911042266, ""B"": 2.5217353491714713e-07, ""C"": 1.1911834338132867e-07, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.3760389513979504e-07}","{""invalid"": 0.0, ""no"": 2.5217353491714713e-07, ""unknown"": 1.1911834338132867e-07, ""yes"": 0.9999996287081218}",yes,yes,8.802925739691254e-06,1.0
