example_id,question_id,ground_truth_label,greedy_answer,raw_argmax_t0,raw_argmax_t07,raw_argmax_t1,semantic_argmax_t0,semantic_argmax_t07,semantic_argmax_t1,p_yes_t0,p_no_t0,yes_gt_no_t0,p_yes_t07,p_no_t07,yes_gt_no_t07,p_yes_t1,p_no_t1,yes_gt_no_t1,mc_answer,mc_yes_no_answer,mc_p_yes,mc_p_no,mc_yes_gt_no,raw_answer_probs_t0_json,raw_answer_probs_t07_json,raw_answer_probs_t1_json,answer_probs_t0_json,answer_probs_t07_json,answer_probs_t1_json,mc_answer_probs_json
together_ai_openai_gpt-oss-20b_rooms2_doorkey_22_step_001,wall_down,yes,no,B,A,A,no,yes,yes,8.6289137846667e-09,0.9999999827421724,False,0.9999999999999772,9.37911878316036e-15,True,0.9999999978016263,1.030577008267419e-09,True,yes,yes,0.7999999999999999,0.2,True,"{""A"": 8.6289137846667e-09, ""B"": 0.9999999826335504, ""C"": 8.6289137846667e-09, ""no"": 1.0862199411908392e-10, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.9999999999999305, ""B"": 9.37911878316036e-15, ""C"": 1.340501933884999e-14, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 4.678811484399485e-14}","{""A"": 0.9999999953294005, ""B"": 1.030577008267419e-09, ""C"": 1.1677967426844637e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 2.4722257236632374e-09}","{""invalid"": 0.0, ""no"": 0.9999999827421724, ""unknown"": 8.6289137846667e-09, ""yes"": 8.6289137846667e-09}","{""invalid"": 0.0, ""no"": 9.37911878316036e-15, ""unknown"": 1.340501933884999e-14, ""yes"": 0.9999999999999772}","{""invalid"": 0.0, ""no"": 1.030577008267419e-09, ""unknown"": 1.1677967426844637e-09, ""yes"": 0.9999999978016263}","{""invalid"": 0.0, ""no"": 0.2, ""unknown"": 0.0, ""yes"": 0.7999999999999999}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_22_step_001,hit_wall_after_down,yes,yes,A,A,A,yes,yes,yes,0.999999850763659,1.1911845118718992e-07,True,0.9999999998819084,1.0113373287428536e-10,True,0.9999999967876911,1.0305771174110146e-09,True,yes,yes,0.9999999999999999,0.0,True,"{""A"": 0.9999997943874568, ""B"": 1.1911845118718992e-07, ""C"": 3.0117889773700765e-08, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 5.6376202249270626e-08}","{""A"": 0.999999999846104, ""B"": 1.0113373287428538e-10, ""C"": 1.695781222244227e-11, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 3.580456499113921e-11}","{""A"": 0.999999987533698, ""B"": 1.0305771174110146e-09, ""C"": 2.1817317746797606e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 9.253993176600168e-09}","{""invalid"": 0.0, ""no"": 1.1911845118718992e-07, ""unknown"": 3.0117889773700765e-08, ""yes"": 0.999999850763659}","{""invalid"": 0.0, ""no"": 1.0113373287428536e-10, ""unknown"": 1.6957812222442266e-11, ""yes"": 0.9999999998819084}","{""invalid"": 0.0, ""no"": 1.0305771174110146e-09, ""unknown"": 2.1817317746797606e-09, ""yes"": 0.9999999967876911}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_52_step_004,wall_down,yes,no,B,B,A,no,no,yes,7.614989712298512e-09,0.9999999856648055,False,1.3659981679216067e-13,0.9999999999978739,False,0.9999998562062321,1.051216406409384e-07,True,yes,unknown,0.5,0.5,False,"{""A"": 7.614989712298512e-09, ""B"": 0.9999999855561835, ""C"": 6.720204834316996e-09, ""no"": 1.0862199447084892e-10, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.3659981679216067e-13, ""B"": 0.9999999999978739, ""C"": 1.989477473256187e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.9999998379388126, ""B"": 1.051216406409384e-07, ""C"": 3.8672127294610574e-08, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.82674194573169e-08}","{""invalid"": 0.0, ""no"": 0.9999999856648055, ""unknown"": 6.720204834316996e-09, ""yes"": 7.614989712298512e-09}","{""invalid"": 0.0, ""no"": 0.9999999999978739, ""unknown"": 1.989477473256187e-12, ""yes"": 1.3659981679216067e-13}","{""invalid"": 0.0, ""no"": 1.051216406409384e-07, ""unknown"": 3.8672127294610574e-08, ""yes"": 0.9999998562062321}","{""invalid"": 0.0, ""no"": 0.5, ""unknown"": 0.0, ""yes"": 0.5}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_52_step_004,hit_wall_after_down,yes,no,B,B,A,no,no,yes,5.233700691362614e-09,0.9999999764988889,False,1.0113411866784514e-10,0.9999999997977318,False,0.9999999202261088,3.011788821795904e-08,True,yes,unknown,0.5,0.5,False,"{""A"": 5.233700691362614e-09, ""B"": 0.9999999763198015, ""C"": 1.826741034956067e-08, ""no"": 1.7908738946489426e-10, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.0113411866784514e-10, ""B"": 0.999999999797333, ""C"": 1.0113411866784514e-10, ""no"": 3.988110394549001e-13, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.9999999019586863, ""B"": 3.011788821795904e-08, ""C"": 4.965600293351784e-08, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.8267422609990045e-08}","{""invalid"": 0.0, ""no"": 0.9999999764988889, ""unknown"": 1.826741034956067e-08, ""yes"": 5.233700691362614e-09}","{""invalid"": 0.0, ""no"": 0.9999999997977318, ""unknown"": 1.0113411866784514e-10, ""yes"": 1.0113411866784514e-10}","{""invalid"": 0.0, ""no"": 3.011788821795904e-08, ""unknown"": 4.965600293351784e-08, ""yes"": 0.9999999202261088}","{""invalid"": 0.0, ""no"": 0.5, ""unknown"": 0.0, ""yes"": 0.5}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_73_step_000,wall_left,yes,yes,A,A,A,yes,yes,yes,0.999999998710576,8.026140102151847e-10,True,0.9999999999992024,3.9881027885674773e-13,True,0.9999999956024039,2.472225169274184e-09,True,yes,yes,0.9999999999999999,0.0,True,"{""A"": 0.9999999982809675, ""B"": 8.026140102151846e-10, ""C"": 4.868100051104182e-10, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 4.2960832165713506e-10}","{""A"": 0.9999999999989233, ""B"": 3.988102788567477e-13, ""C"": 3.988102788567477e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 2.790364476761462e-13}","{""A"": 0.9999999941029236, ""B"": 2.472225169274184e-09, ""C"": 1.9253708977595708e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.4994803628780476e-09}","{""invalid"": 0.0, ""no"": 8.026140102151847e-10, ""unknown"": 4.868100051104183e-10, ""yes"": 0.999999998710576}","{""invalid"": 0.0, ""no"": 3.9881027885674773e-13, ""unknown"": 3.9881027885674773e-13, ""yes"": 0.9999999999992024}","{""invalid"": 0.0, ""no"": 2.472225169274184e-09, ""unknown"": 1.9253708977595708e-09, ""yes"": 0.9999999956024039}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_73_step_000,hit_wall_after_left,yes,yes,A,A,A,yes,yes,yes,0.9999999968013854,1.6991340441012284e-09,True,0.9999999988848305,1.0305748442152805e-09,True,0.9999999949002282,1.9253712858936133e-09,True,yes,yes,0.6,0.4,True,"{""A"": 0.9999999902457484, ""B"": 1.6991340441012284e-09, ""C"": 1.4994805309953714e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 6.555637027231713e-09}","{""A"": 0.9999999987947799, ""B"": 1.0305748442152805e-09, ""C"": 8.4594734669236e-11, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 9.005067282372363e-11}","{""A"": 0.9999999902815024, ""B"": 1.925371285893613e-09, ""C"": 3.1744005930480576e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 4.61872560944385e-09}","{""invalid"": 0.0, ""no"": 1.6991340441012284e-09, ""unknown"": 1.4994805309953714e-09, ""yes"": 0.9999999968013854}","{""invalid"": 0.0, ""no"": 1.0305748442152805e-09, ""unknown"": 8.4594734669236e-11, ""yes"": 0.9999999988848305}","{""invalid"": 0.0, ""no"": 1.9253712858936133e-09, ""unknown"": 3.174400593048058e-09, ""yes"": 0.9999999949002282}","{""invalid"": 0.0, ""no"": 0.4, ""unknown"": 0.0, ""yes"": 0.6}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_88_step_007,wall_left,yes,yes,A,A,A,yes,yes,yes,0.9999999937422568,4.076011500759667e-09,True,0.9999999999998467,1.1426083999613171e-13,True,0.9999999936821395,1.6991343628609382e-09,True,yes,yes,0.9999999999999999,0.0,True,"{""A"": 0.9999999901451893, ""B"": 4.076011500759667e-09, ""C"": 2.181731738556453e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 3.5970675243195946e-09}","{""A"": 0.9999999999998193, ""B"": 1.1426083999613171e-13, ""C"": 3.9136502761293974e-14, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 2.7382721268580435e-14}","{""A"": 0.9999999912099137, ""B"": 1.6991343628609382e-09, ""C"": 4.618726062675226e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 2.4722259102454328e-09}","{""invalid"": 0.0, ""no"": 4.076011500759667e-09, ""unknown"": 2.181731738556453e-09, ""yes"": 0.9999999937422568}","{""invalid"": 0.0, ""no"": 1.1426083999613171e-13, ""unknown"": 3.9136502761293974e-14, ""yes"": 0.9999999999998467}","{""invalid"": 0.0, ""no"": 1.6991343628609382e-09, ""unknown"": 4.618726062675226e-09, ""yes"": 0.9999999936821395}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_88_step_007,hit_wall_after_left,yes,yes,A,A,A,yes,yes,yes,0.9999999963187878,1.4994807029216585e-09,True,0.9999999982800788,1.472942434645119e-09,True,0.999999993930707,3.597067218649832e-09,True,yes,yes,0.9999999999999999,0.0,True,"{""A"": 0.9999999910749854, ""B"": 1.4994807029216583e-09, ""C"": 2.1817315491366788e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 5.243802280055616e-09}","{""A"": 0.9999999980587069, ""B"": 1.472942434645119e-09, ""C"": 2.4697873312189227e-10, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 2.2137195048673808e-10}","{""A"": 0.9999999911293083, ""B"": 3.597067218649832e-09, ""C"": 2.4722257344684914e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 2.8013987666449695e-09}","{""invalid"": 0.0, ""no"": 1.4994807029216585e-09, ""unknown"": 2.181731549136679e-09, ""yes"": 0.9999999963187878}","{""invalid"": 0.0, ""no"": 1.472942434645119e-09, ""unknown"": 2.4697873312189227e-10, ""yes"": 0.9999999982800788}","{""invalid"": 0.0, ""no"": 3.597067218649832e-09, ""unknown"": 2.4722257344684914e-09, ""yes"": 0.999999993930707}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_016,wall_right,yes,yes,A,A,A,yes,yes,yes,0.9999999952732299,1.9253713328632248e-09,True,0.9999999999989198,3.9881027885656244e-13,True,0.9999999969068316,1.167796884858035e-09,True,yes,yes,0.9999999999999999,0.0,True,"{""A"": 0.9999999933478585, ""B"": 1.9253713328632243e-09, ""C"": 2.801398759267995e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.9253713328632243e-09}","{""A"": 0.9999999999981051, ""B"": 3.9881027885656244e-13, ""C"": 6.81435031771842e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 8.146614404307105e-13}","{""A"": 0.9999999955835444, ""B"": 1.167796884858035e-09, ""C"": 1.9253715639227906e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.323287233573141e-09}","{""invalid"": 0.0, ""no"": 1.9253713328632248e-09, ""unknown"": 2.8013987592679953e-09, ""yes"": 0.9999999952732299}","{""invalid"": 0.0, ""no"": 3.9881027885656244e-13, ""unknown"": 6.81435031771842e-13, ""yes"": 0.9999999999989198}","{""invalid"": 0.0, ""no"": 1.167796884858035e-09, ""unknown"": 1.9253715639227906e-09, ""yes"": 0.9999999969068316}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_016,hit_wall_after_right,yes,yes,A,A,A,yes,yes,yes,0.9999998467535468,1.1911847214011035e-07,True,0.9999999999996867,7.994528075781884e-14,True,0.9999996287081218,2.5217353491714713e-07,True,yes,yes,0.9999999999999999,0.0,True,"{""A"": 0.9999997519324709, ""B"": 1.1911847214011035e-07, ""C"": 3.412798111580395e-08, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 9.482107583596845e-08}","{""A"": 0.9999999999976303, ""B"": 7.994528075781884e-14, ""C"": 2.334039653167249e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 2.05634882889135e-12}","{""A"": 0.9999994911042266, ""B"": 2.5217353491714713e-07, ""C"": 1.1911834338132867e-07, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.3760389513979504e-07}","{""invalid"": 0.0, ""no"": 1.1911847214011035e-07, ""unknown"": 3.412798111580395e-08, ""yes"": 0.9999998467535468}","{""invalid"": 0.0, ""no"": 7.994528075781884e-14, ""unknown"": 2.334039653167249e-13, ""yes"": 0.9999999999996867}","{""invalid"": 0.0, ""no"": 2.5217353491714713e-07, ""unknown"": 1.1911834338132867e-07, ""yes"": 0.9999996287081218}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}"
