event_id,example_id,trajectory_id,failure_category,reasoning_step_idx,reasoning_progress,event_type,previous_action,current_action,strictly_sustained_to_trace_end,belief_shift_id,question_id,question_family,shift_type,persistent_belief_error,belief_shift_step_idx,belief_shift_minus_action_event_steps,temporal_relation
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002:action:23,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,backtrack,23,0.71875,sustained_optimal_to_suboptimal,RIGHT,UP,False,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002:door_open:23,door_open,core,belief_error_onset,True,23,0,coincides
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002:action:23,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,backtrack,23,0.71875,sustained_optimal_to_suboptimal,RIGHT,UP,False,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002:wall_down:23,wall_down,wall_directional,belief_error_onset,True,23,0,coincides
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010:action:1,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,none,1,0.03333333333333333,sustained_optimal_to_suboptimal,DOWN,LEFT,False,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010:wall_right:1,wall_right,wall_directional,belief_error_onset,True,1,0,coincides
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010:action:1,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,none,1,0.03333333333333333,sustained_optimal_to_suboptimal,DOWN,LEFT,False,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010:wall_left:1,wall_left,wall_directional,belief_error_onset,True,1,0,coincides
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010:action:1,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,none,1,0.03333333333333333,sustained_optimal_to_suboptimal,DOWN,LEFT,False,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010:wall_up:1,wall_up,wall_directional,belief_error_onset,True,1,0,coincides
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010:action:1,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,none,1,0.03333333333333333,sustained_optimal_to_suboptimal,DOWN,LEFT,False,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010:wall_down:1,wall_down,wall_directional,belief_error_onset,True,1,0,coincides
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002:action:23,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,backtrack,23,0.71875,sustained_optimal_to_suboptimal,RIGHT,UP,False,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002:hit_wall_after_right:22,hit_wall_after_right,action_effects,belief_error_onset,True,22,-1,leads
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010:action:18,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,none,18,0.6,sustained_optimal_to_suboptimal,DOWN,RIGHT,False,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010:wall_right:17,wall_right,wall_directional,belief_error_onset,True,17,-1,leads
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_016:action:16,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_016,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,wall_hit,16,0.5,sustained_optimal_to_suboptimal,DOWN,RIGHT,True,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_016:door_open:15,door_open,core,belief_error_onset,True,15,-1,leads
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20_step_009:action:24,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20_step_009,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20,wall_hit,24,0.7741935483870968,sustained_optimal_to_suboptimal,LEFT,UP,False,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20_step_009:door_open:23,door_open,core,belief_error_onset,True,23,-1,leads
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20_step_009:action:30,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20_step_009,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20,wall_hit,30,0.967741935483871,sustained_optimal_to_suboptimal,LEFT,UP,True,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20_step_009:door_open:29,door_open,core,belief_error_onset,True,29,-1,leads
