audit_type,event_id,example_id,trajectory_id,failure_category,reasoning_step_idx,reasoning_progress,reasoning_character_progress,analysis_unit,event_type,previous_action,current_action,strictly_sustained_to_trace_end,shift_id,question_id,question_family,previous_answer,current_answer,ground_truth,shift_type,persistent_belief_error
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000:action:2,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,2,0.0625,0.05277442702050664,packed_chunk,action_identity_change_without_optimality_change,UP,RIGHT,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000:action:4,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,4,0.125,0.10735826296743065,packed_chunk,action_identity_change_without_optimality_change,RIGHT,UP,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000:action:7,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,7,0.21875,0.18425814234016888,packed_chunk,action_identity_change_without_optimality_change,UP,RIGHT,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000:action:11,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,11,0.34375,0.3226779252110977,packed_chunk,action_identity_change_without_optimality_change,RIGHT,UP,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000:action:12,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,12,0.375,0.3573582629674306,packed_chunk,action_identity_change_without_optimality_change,UP,RIGHT,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001:action:1,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,1,0.03125,0.028076463560334528,packed_chunk,suboptimal_to_optimal_recovery,RIGHT,UP,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001:action:2,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,2,0.0625,0.04958183990442055,packed_chunk,transient_optimal_to_suboptimal,UP,LEFT,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001:action:3,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,3,0.09375,0.07039028275587415,packed_chunk,suboptimal_to_optimal_recovery,LEFT,UP,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001:action:9,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,9,0.28125,0.26214655515730784,packed_chunk,transient_optimal_to_suboptimal,UP,LEFT,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001:action:10,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,10,0.3125,0.2928116288331342,packed_chunk,suboptimal_to_optimal_recovery,LEFT,UP,False,,,,,,,,
