trajectory_id,model,api_model_id,reasoning_setting,temperature,top_p,seed,max_output_tokens,context_mode,prompt_sha256,grid_id,grid_size,difficulty,observed_wall_fraction,grid_replicate,step_index,agent_x,agent_y,optimal_actions,selected_action,is_optimal_action,valid_action,api_success,finish_reason,truncated_call,latency_seconds,prompt_tokens,output_tokens,reasoning_tokens,total_tokens,estimated_cost_usd,attempts,error_type,error_message,goal_reached_after_action,response_text,reasoning_content,response_id,provider_returned_model_id,system_fingerprint
gpt-oss-20b__low__size7_difficulty0.0_grid1__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,1514351014,16000,current full grid only (no trajectory history),ab3c1d6a1dcb4bd56eaa81266641d1b03292f9e9ae0ea61fcf17b6fac2a12b23,size7_difficulty0.0_grid1,7,0.0,0.0,1,0,3,5,"[""RIGHT""]",RIGHT,True,True,True,stop,False,0.8217319839750417,485,46,0,531,3.345e-05,1,,,True,"{
  ""action"": ""RIGHT""
}","We need shortest path. Agent at (5,3). Goal at (5,4). Adjacent right. So action RIGHT.",owSAtW9-fdNmn-a2c0e20f3fc6a2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid1__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,2561505729,16000,current full grid only (no trajectory history),ab3c1d6a1dcb4bd56eaa81266641d1b03292f9e9ae0ea61fcf17b6fac2a12b23,size7_difficulty0.0_grid1,7,0.0,0.0,1,0,3,5,"[""RIGHT""]",RIGHT,True,True,True,stop,False,0.5823974320082925,485,45,0,530,3.325e-05,1,,,True,"{
  ""action"": ""RIGHT""
}","We need next move from A at (5,3) to G at (5,4). Right. So action RIGHT.",owSAtgY-fdNmn-a2c0e2135b92a2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid1__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,3954362590,16000,current full grid only (no trajectory history),ab3c1d6a1dcb4bd56eaa81266641d1b03292f9e9ae0ea61fcf17b6fac2a12b23,size7_difficulty0.0_grid1,7,0.0,0.0,1,0,3,5,"[""RIGHT""]",RIGHT,True,True,True,stop,False,0.6245799020398408,485,42,0,527,3.265e-05,1,,,True,"{
  ""action"": ""RIGHT""
}","We need next move from A at (5,3) to G at (5,4). Move RIGHT.",owSAtrv-3pDw3Z-a2c0e216ffcda2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid1__t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,0.95,1834653188,16000,current full grid only (no trajectory history),ab3c1d6a1dcb4bd56eaa81266641d1b03292f9e9ae0ea61fcf17b6fac2a12b23,size7_difficulty0.0_grid1,7,0.0,0.0,1,0,3,5,"[""RIGHT""]",RIGHT,True,True,True,stop,False,0.5475344259757549,485,48,0,533,3.385e-05,1,,,True,"{
  ""action"": ""RIGHT""
}","We need shortest path from A at (5,3) to G at (5,4). They are adjacent horizontally. So move RIGHT.",owSAu3o-3pDw3Z-a2c0e21aec18a2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid10__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,3121657171,16000,current full grid only (no trajectory history),97880c6671c5aff90957058bdd7d0a3c047e2260a7154ba4aa83b0e8858e122a,size7_difficulty0.0_grid10,7,0.0,0.0,10,0,4,1,"[""LEFT""]",LEFT,True,True,True,stop,False,1.2318642770405859,485,134,0,619,5.105e-05,1,,,False,"{
  ""action"": ""LEFT""
}","We need shortest path. Grid 7x7. Agent at row1 col4? Let's map coordinates: row index 0-6, col 0-6. Provided grid: row1: ""# G _ _ A _ #"". So at row1 col1 is G, row1 col4 is A. Need to reach G. Walls around edges. Path: from (1,4) left to (1,3) left to (1,2) left to (1,1) goal. That's 3 steps left. So action LEFT.",owSAuDB-3pDw3Z-a2c0e21e5fcaa2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid10__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,2952747874,16000,current full grid only (no trajectory history),cf92a03f5e07f2d57fdd8629e0fce3ea13b4532ae1747b8ab664ddb6da5d7460,size7_difficulty0.0_grid10,7,0.0,0.0,10,1,3,1,"[""LEFT""]",LEFT,True,True,True,stop,False,0.5740102409617975,485,47,0,532,3.365e-05,1,,,False,"{
  ""action"": ""LEFT""
}","We need move from A at (1,3) to G at (1,1). Path: left twice. So action LEFT.",owSAuaQ-3pDw3Z-a2c0e2260f8da2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid10__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,3544291747,16000,current full grid only (no trajectory history),2caa6237e907e61a6e8c1e36a7d57ae73f8057c257c23a12801c0835a706a4cb,size7_difficulty0.0_grid10,7,0.0,0.0,10,2,2,1,"[""LEFT""]",LEFT,True,True,True,stop,False,0.8283746149973013,485,73,0,558,3.885e-05,1,,,True,"{
  ""action"": ""LEFT""
}",We need next move. Grid 7x7. Coordinates: row 1 col 2 is A? Actually row1 col2 is A. Goal at row1 col1. So A is right of G. Need move left to reach. So action LEFT.,owSAukF-fdNmn-a2c0e229aaa6a2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid10__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,336015603,16000,current full grid only (no trajectory history),97880c6671c5aff90957058bdd7d0a3c047e2260a7154ba4aa83b0e8858e122a,size7_difficulty0.0_grid10,7,0.0,0.0,10,0,4,1,"[""LEFT""]",LEFT,True,True,True,stop,False,0.6282130660256371,485,48,0,533,3.385e-05,1,,,False,"{
  ""action"": ""LEFT""
}","We need move from A at (1,4) to G at (1,1). Path left. Check obstacles none. So LEFT.",owSAuzf-3pDw3Z-a2c0e22edf81a2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid10__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,3701318846,16000,current full grid only (no trajectory history),cf92a03f5e07f2d57fdd8629e0fce3ea13b4532ae1747b8ab664ddb6da5d7460,size7_difficulty0.0_grid10,7,0.0,0.0,10,1,3,1,"[""LEFT""]",LEFT,True,True,True,stop,False,1.0657604380394332,485,101,0,586,4.445e-05,1,,,False,"{
  ""action"": ""LEFT""
}","We need next move from A to G. Grid: coordinates: row1 col3 is G? Let's map: Row1: ""# G _ A _ _ #"". So row=1, columns:0#,1G,2_,3A,4_,5_,6#. So A at (1,3). G at (1,1). Need move left twice. So first move LEFT.",owSAvBW-3pDw3Z-a2c0e232cacfa2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid10__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,220395007,16000,current full grid only (no trajectory history),2caa6237e907e61a6e8c1e36a7d57ae73f8057c257c23a12801c0835a706a4cb,size7_difficulty0.0_grid10,7,0.0,0.0,10,2,2,1,"[""LEFT""]",LEFT,True,True,True,stop,False,0.7440291289822198,485,63,0,548,3.685e-05,1,,,True,"{
  ""action"": ""LEFT""
}","We need shortest path from A to G. Grid 7x7. Coordinates: row, col. A at (1,2). G at (1,1). They are adjacent left. So move LEFT.",owSAvW4-3pDw3Z-a2c0e2396a1ea2a4,openai/gpt-oss-20b,
