example_id,question_id,ground_truth_label,greedy_answer,raw_argmax_t0,raw_argmax_t07,raw_argmax_t1,semantic_argmax_t0,semantic_argmax_t07,semantic_argmax_t1,p_yes_t0,p_no_t0,yes_gt_no_t0,p_yes_t07,p_no_t07,yes_gt_no_t07,p_yes_t1,p_no_t1,yes_gt_no_t1,mc_answer,mc_yes_no_answer,mc_p_yes,mc_p_no,mc_yes_gt_no,raw_answer_probs_t0_json,raw_answer_probs_t07_json,raw_answer_probs_t1_json,answer_probs_t0_json,answer_probs_t07_json,answer_probs_t1_json,mc_answer_probs_json
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,wall_right,no,no,B,B,B,no,no,no,6.250764230803518e-10,0.9999999934443636,False,1.9523403297616147e-13,0.9999999999974263,False,2.0293260464158348e-10,0.9999999978716965,False,no,no,0.1,0.8999999999999999,False,"{""A"": 6.250764230803518e-10, ""B"": 0.9999999934443636, ""C"": 5.930559979722257e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.9523403297616147e-13, ""B"": 0.9999999999974263, ""C"": 2.37843742765587e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 2.0293260464158348e-10, ""B"": 0.9999999978716965, ""C"": 1.925370945423528e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999934443636, ""unknown"": 5.930559979722257e-09, ""yes"": 6.250764230803518e-10}","{""invalid"": 0.0, ""no"": 0.9999999999974263, ""unknown"": 2.37843742765587e-12, ""yes"": 1.9523403297616147e-13}","{""invalid"": 0.0, ""no"": 0.9999999978716965, ""unknown"": 1.925370945423528e-09, ""yes"": 2.0293260464158348e-10}","{""invalid"": 0.0, ""no"": 0.8999999999999999, ""unknown"": 0.0, ""yes"": 0.1}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,wall_left,no,yes,A,A,A,yes,yes,yes,0.9999999943972038,2.8013981423209355e-09,True,0.9999999999918917,1.1643451571794154e-12,True,0.999999996028294,1.4994805378102885e-09,True,yes,yes,0.8999999999999999,0.1,True,"{""A"": 0.9999999932294072, ""B"": 2.8013981423209355e-09, ""C"": 2.8013981423209355e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.1677964875315267e-09}","{""A"": 0.9999999999878277, ""B"": 1.1643451571794154e-12, ""C"": 6.943971931934258e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 4.063963919415973e-12}","{""A"": 0.9999999952256798, ""B"": 1.4994805378102883e-09, ""C"": 2.47222545768869e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 8.026140947047588e-10}","{""invalid"": 0.0, ""no"": 2.8013981423209355e-09, ""unknown"": 2.8013981423209355e-09, ""yes"": 0.9999999943972038}","{""invalid"": 0.0, ""no"": 1.1643451571794154e-12, ""unknown"": 6.943971931934258e-12, ""yes"": 0.9999999999918917}","{""invalid"": 0.0, ""no"": 1.4994805378102885e-09, ""unknown"": 2.4722254576886906e-09, ""yes"": 0.999999996028294}","{""invalid"": 0.0, ""no"": 0.1, ""unknown"": 0.0, ""yes"": 0.8999999999999999}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,wall_up,no,no,B,B,B,no,no,no,1.925370915705734e-09,0.9999999921440691,False,3.9136577408667135e-14,0.9999999999994842,False,9.094808297384634e-10,0.9999999931599591,False,no,no,0.0,0.9999999999999999,False,"{""A"": 1.925370915705734e-09, ""B"": 0.9999999920482106, ""C"": 5.930559934973541e-09, ""no"": 9.585857341373818e-11, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 3.9136577408667135e-14, ""B"": 0.9999999999994842, ""C"": 4.76782027312372e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 9.094808297384634e-10, ""B"": 0.9999999931599591, ""C"": 5.930559984132268e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999921440691, ""unknown"": 5.930559934973541e-09, ""yes"": 1.925370915705734e-09}","{""invalid"": 0.0, ""no"": 0.9999999999994842, ""unknown"": 4.76782027312372e-13, ""yes"": 3.9136577408667135e-14}","{""invalid"": 0.0, ""no"": 0.9999999931599591, ""unknown"": 5.930559984132268e-09, ""yes"": 9.094808297384634e-10}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,wall_down,yes,no,B,B,B,no,no,no,1.0305767911198422e-09,0.9999999930388633,False,3.9881027886660796e-13,0.9999999999962019,False,2.8013981560804724e-09,0.9999999885696881,False,no,no,0.30000000000000004,0.7,False,"{""A"": 1.0305767911198422e-09, ""B"": 0.9999999930388633, ""C"": 5.930559960007643e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 3.9881027886660796e-13, ""B"": 0.9999999999962019, ""C"": 3.3993598387148485e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 2.801398156080472e-09, ""B"": 0.999999988569688, ""C"": 8.628913800886974e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999930388633, ""unknown"": 5.930559960007643e-09, ""yes"": 1.0305767911198422e-09}","{""invalid"": 0.0, ""no"": 0.9999999999962019, ""unknown"": 3.3993598387148485e-12, ""yes"": 3.9881027886660796e-13}","{""invalid"": 0.0, ""no"": 0.9999999885696881, ""unknown"": 8.628913800886976e-09, ""yes"": 2.8013981560804724e-09}","{""invalid"": 0.0, ""no"": 0.7, ""unknown"": 0.0, ""yes"": 0.30000000000000004}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,is_goal_right,no,no,B,B,B,no,no,no,3.1120723013264205e-11,0.9999999992605749,False,7.845295958319585e-15,0.9999999999997589,False,4.528038475075396e-11,0.9999999987869231,False,no,no,0.0,0.9999999999999999,False,"{""A"": 3.1120723013264205e-11, ""B"": 0.9999999992439172, ""C"": 7.083043910165963e-10, ""no"": 1.6657722656623616e-11, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 7.845295958319585e-15, ""B"": 0.9999999999997575, ""C"": 2.334035201416756e-13, ""no"": 1.315476566617426e-15, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 4.528038475075396e-11, ""B"": 0.9999999987739501, ""C"": 1.1677965143032297e-09, ""no"": 1.2973047434766013e-11, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999992605749, ""unknown"": 7.083043910165963e-10, ""yes"": 3.1120723013264205e-11}","{""invalid"": 0.0, ""no"": 0.9999999999997589, ""unknown"": 2.334035201416756e-13, ""yes"": 7.845295958319585e-15}","{""invalid"": 0.0, ""no"": 0.9999999987869231, ""unknown"": 1.1677965143032297e-09, ""yes"": 4.528038475075396e-11}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,is_goal_left,no,no,B,B,B,no,no,no,1.7331627305224332e-07,0.9999995745100376,False,2.2904706424160932e-14,0.9999999999995783,False,2.8013981997805268e-09,0.9999999962891211,False,no,no,0.0,0.9999999999999999,False,"{""A"": 1.7331627305224332e-07, ""B"": 0.9999995725846659, ""C"": 2.5217368930463794e-07, ""no"": 1.9253717135351064e-09, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 2.2904706424160932e-14, ""B"": 0.9999999999995768, ""C"": 3.9881027886801065e-13, ""no"": 1.5726605481144983e-15, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 2.8013981997805268e-09, ""B"": 0.9999999961100337, ""C"": 9.094808376119871e-10, ""no"": 1.7908739530028998e-10, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999995745100376, ""unknown"": 2.5217368930463794e-07, ""yes"": 1.7331627305224332e-07}","{""invalid"": 0.0, ""no"": 0.9999999999995783, ""unknown"": 3.9881027886801065e-13, ""yes"": 2.2904706424160932e-14}","{""invalid"": 0.0, ""no"": 0.9999999962891211, ""unknown"": 9.094808376119871e-10, ""yes"": 2.8013981997805268e-09}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,is_goal_up,no,no,B,B,B,no,no,no,1.5804407171327757e-10,0.9999999992168795,False,1.3154815847735722e-15,0.9999999999999318,False,8.459489548303824e-11,0.9999999990059243,False,no,no,0.0,0.9999999999999999,False,"{""A"": 1.5804407171327754e-10, ""B"": 0.9999999991509969, ""C"": 6.250764292287743e-10, ""no"": 6.588257093261188e-11, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.3154815847735722e-15, ""B"": 0.9999999999999305, ""C"": 6.687148321870878e-14, ""no"": 1.3154815847735722e-15, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 8.459489548303822e-11, ""B"": 0.9999999989100656, ""C"": 9.09480836812895e-10, ""no"": 9.585857495395461e-11, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999992168795, ""unknown"": 6.250764292287744e-10, ""yes"": 1.5804407171327757e-10}","{""invalid"": 0.0, ""no"": 0.9999999999999318, ""unknown"": 6.687148321870878e-14, ""yes"": 1.3154815847735722e-15}","{""invalid"": 0.0, ""no"": 0.9999999990059243, ""unknown"": 9.094808368128951e-10, ""yes"": 8.459489548303824e-11}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,is_goal_down,no,no,B,B,B,no,no,no,4.3821178252117156e-08,0.999999540414662,False,5.489145607974778e-15,0.9999999999986026,False,5.814116482590952e-11,0.9999999984423784,False,no,no,0.0,0.9999999999999999,False,"{""A"": 4.3821178252117156e-08, ""B"": 0.9999995390913745, ""C"": 4.157641597974786e-07, ""no"": 1.32328744566504e-09, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 5.489145607974778e-15, ""B"": 0.9999999999986018, ""C"": 1.3919846482094554e-12, ""no"": 7.698878892940048e-16, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 5.814116482590951e-11, ""B"": 0.9999999984257206, ""C"": 1.4994804040417552e-09, ""no"": 1.6657722617662036e-11, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.999999540414662, ""unknown"": 4.157641597974786e-07, ""yes"": 4.3821178252117156e-08}","{""invalid"": 0.0, ""no"": 0.9999999999986026, ""unknown"": 1.3919846482094554e-12, ""yes"": 5.489145607974778e-15}","{""invalid"": 0.0, ""no"": 0.9999999984423784, ""unknown"": 1.4994804040417554e-09, ""yes"": 5.814116482590952e-11}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,is_key_right,no,no,B,B,B,no,no,no,2.029326049950298e-10,0.999999999088763,False,4.9509310336915925e-11,0.9999999999405661,False,1.0862199604262866e-10,0.9999999987235815,False,no,no,0.0,0.9999999999999999,False,"{""A"": 2.029326049950298e-10, ""B"": 0.9999999990534987, ""C"": 7.083043886837879e-10, ""no"": 3.5264399024657824e-11, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 4.9509310336915925e-11, ""B"": 0.9999999999405333, ""C"": 9.92460807772601e-12, ""no"": 3.273640362969422e-14, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.0862199604262865e-10, ""B"": 0.999999998708881, ""C"": 1.167796511752234e-09, ""no"": 1.470038860015537e-11, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.999999999088763, ""unknown"": 7.083043886837879e-10, ""yes"": 2.029326049950298e-10}","{""invalid"": 0.0, ""no"": 0.9999999999405661, ""unknown"": 9.92460807772601e-12, ""yes"": 4.9509310336915925e-11}","{""invalid"": 0.0, ""no"": 0.9999999987235815, ""unknown"": 1.1677965117522343e-09, ""yes"": 1.0862199604262866e-10}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,is_key_left,no,no,B,B,B,no,no,no,4.528038475644465e-11,0.9999999994679096,False,1.8801327953101627e-15,0.9999999999998839,False,8.02614017333942e-10,0.999999996022986,False,no,no,0.0,0.9999999999999999,False,"{""A"": 4.528038475644465e-11, ""B"": 0.9999999994679096, ""C"": 4.868100135871472e-10, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.8801327953101627e-15, ""B"": 0.9999999999998839, ""C"": 1.1426105793296321e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 8.02614017333942e-10, ""B"": 0.9999999958200534, ""C"": 3.1744000174472464e-09, ""no"": 2.0293260372993767e-10, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999994679096, ""unknown"": 4.868100135871472e-10, ""yes"": 4.528038475644465e-11}","{""invalid"": 0.0, ""no"": 0.9999999999998839, ""unknown"": 1.1426105793296321e-13, ""yes"": 1.8801327953101627e-15}","{""invalid"": 0.0, ""no"": 0.999999996022986, ""unknown"": 3.1744000174472464e-09, ""yes"": 8.02614017333942e-10}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
