example_id,question_id,ground_truth_label,greedy_answer,raw_argmax_t0,raw_argmax_t07,raw_argmax_t1,semantic_argmax_t0,semantic_argmax_t07,semantic_argmax_t1,p_yes_t0,p_no_t0,yes_gt_no_t0,p_yes_t07,p_no_t07,yes_gt_no_t07,p_yes_t1,p_no_t1,yes_gt_no_t1,mc_answer,mc_yes_no_answer,mc_p_yes,mc_p_no,mc_yes_gt_no,raw_answer_probs_t0_json,raw_answer_probs_t07_json,raw_answer_probs_t1_json,answer_probs_t0_json,answer_probs_t07_json,answer_probs_t1_json,mc_answer_probs_json
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,wall_down,no,no,B,B,B,no,no,no,0.0,0.9999999971986018,False,1.1426105793287254e-13,0.9999999999989118,False,0.0,0.999999997818269,False,no,no,0.0,0.9999999999999999,False,"{""A"": 0.0, ""B"": 0.9999999971986018, ""C"": 2.8013981937812732e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.1426105793287254e-13, ""B"": 0.9999999999989118, ""C"": 9.739329000494302e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.999999997818269, ""C"": 2.1817311155882013e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999971986018, ""unknown"": 2.8013981937812732e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999989118, ""unknown"": 9.739329000494302e-13, ""yes"": 1.1426105793287254e-13}","{""invalid"": 0.0, ""no"": 0.999999997818269, ""unknown"": 2.1817311155882013e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,wall_left,yes,yes,A,A,A,yes,yes,yes,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,yes,yes,0.9999999999999999,0.0,True,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,wall_right,no,no,B,B,B,no,no,no,0.0,0.9999999975277748,False,0.0,0.999999999998608,False,0.0,0.9999999932797952,False,no,no,0.0,0.9999999999999999,False,"{""A"": 0.0, ""B"": 0.9999999975277747, ""C"": 2.472225230195744e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.999999999998608, ""C"": 1.3919846482068218e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.999999993279795, ""C"": 6.720204883816286e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999975277748, ""unknown"": 2.4722252301957443e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.999999999998608, ""unknown"": 1.3919846482068218e-12, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999932797952, ""unknown"": 6.7202048838162865e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,wall_up,no,no,B,B,B,no,no,no,0.0,0.9999999975277748,False,0.0,0.9999999999996665,False,0.0,0.9999999947662992,False,no,no,0.0,0.9999999999999999,False,"{""A"": 0.0, ""B"": 0.9999999975277747, ""C"": 2.4722252301674332e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999999996665, ""C"": 3.335898364857933e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999947662992, ""C"": 5.2337008486480855e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999975277748, ""unknown"": 2.4722252301674337e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999996665, ""unknown"": 3.335898364857933e-13, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999947662992, ""unknown"": 5.2337008486480855e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step1,wall_down,no,no,B,B,B,no,no,no,2.1817310973544853e-09,0.9999999918877089,False,9.739329000429368e-13,0.9999999999949621,False,0.0,0.9999999940694401,False,no,no,0.0,0.9999999999999999,False,"{""A"": 2.181731097354485e-09, ""B"": 0.9999999918877088, ""C"": 5.930559996522708e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 9.739329000429366e-13, ""B"": 0.999999999994962, ""C"": 4.063956168313624e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999940694401, ""C"": 5.930559992389944e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999918877089, ""unknown"": 5.930559996522709e-09, ""yes"": 2.1817310973544853e-09}","{""invalid"": 0.0, ""no"": 0.9999999999949621, ""unknown"": 4.063956168313625e-12, ""yes"": 9.739329000429368e-13}","{""invalid"": 0.0, ""no"": 0.9999999940694401, ""unknown"": 5.930559992389944e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step1,wall_left,yes,yes,A,A,A,yes,yes,yes,1.0,0.0,True,0.9999999999858153,1.418462784619476e-11,True,1.0,0.0,True,yes,yes,0.9999999999999999,0.0,True,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.9999999999858153, ""B"": 1.418462784619476e-11, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 1.418462784619476e-11, ""unknown"": 0.0, ""yes"": 0.9999999999858153}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step1,wall_right,no,no,B,B,B,no,no,no,0.0,0.9999999964029336,False,0.0,0.999999999998608,False,0.0,1.0,False,no,no,0.0,0.9999999999999999,False,"{""A"": 0.0, ""B"": 0.9999999964029336, ""C"": 3.5970664748321795e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.999999999998608, ""C"": 1.3919846482066033e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 1.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999964029336, ""unknown"": 3.5970664748321795e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.999999999998608, ""unknown"": 1.3919846482066033e-12, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step1,wall_up,no,no,B,B,B,no,no,no,0.0,1.0,False,0.0,0.9999999999966007,False,0.0,0.999999998300866,False,no,no,0.0,0.9999999999999999,False,"{""A"": 0.0, ""B"": 1.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999999966007, ""C"": 3.3993598387184185e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.999999998300866, ""C"": 1.6991338990126478e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999966007, ""unknown"": 3.3993598387184185e-12, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.999999998300866, ""unknown"": 1.6991338990126478e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step2,wall_down,no,no,B,B,B,no,no,no,0.0,0.99999999406944,False,1.0305768101519984e-09,0.9999999989653592,False,0.0,0.999999998300866,False,no,no,0.0,0.9999999999999999,False,"{""A"": 0.0, ""B"": 0.99999999406944, ""C"": 5.9305600216744025e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.0305768101519984e-09, ""B"": 0.9999999989653592, ""C"": 4.0639716669312565e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.999999998300866, ""C"": 1.699133900748582e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.99999999406944, ""unknown"": 5.9305600216744025e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999989653592, ""unknown"": 4.0639716669312565e-12, ""yes"": 1.0305768101519984e-09}","{""invalid"": 0.0, ""no"": 0.999999998300866, ""unknown"": 1.699133900748582e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step2,wall_left,yes,yes,A,A,A,yes,yes,yes,1.0,0.0,True,0.9999999999888549,8.301593993313953e-12,True,0.9999999771588621,1.6120933160435287e-08,True,yes,yes,0.9999999999999999,0.0,True,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.9999999999888549, ""B"": 8.301593993313953e-12, ""C"": 2.8434478213651304e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.999999977158862, ""B"": 1.6120933160435284e-08, ""C"": 6.720204756361291e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 8.301593993313953e-12, ""unknown"": 2.8434478213651304e-12, ""yes"": 0.9999999999888549}","{""invalid"": 0.0, ""no"": 1.6120933160435287e-08, ""unknown"": 6.720204756361292e-09, ""yes"": 0.9999999771588621}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}"
