example_id,trajectory_id,step_index,failure_mode,target_wall_question,ground_truth_label,patch_type,reasoning_stage_source,reasoning_stage_target,donor_example_id,donor_trajectory_id,donor_step_index,donor_label,patched_wall_answer,patched_action,patch_backend,patch_artifact_path,notes
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_016,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,16,wall_hit,wall_right,yes,none,,,,,,yes,yes,RIGHT,none,,unpatched baseline row
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_016,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,16,wall_hit,wall_right,yes,pre_to_pre,pre,pre,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,2,no,,,,,fill patched_* columns after running wall-feature intervention
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_016,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,16,wall_hit,wall_right,yes,post_to_post,post,post,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,2,no,,,,,fill patched_* columns after running wall-feature intervention
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_016,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,16,wall_hit,wall_right,yes,pre_to_post,pre,post,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,2,no,,,,,fill patched_* columns after running wall-feature intervention
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20_step_009,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20,9,wall_hit,wall_up,yes,none,,,,,,yes,yes,UP,none,,unpatched baseline row
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20_step_009,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20,9,wall_hit,wall_up,yes,pre_to_pre,pre,pre,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_11_step_005,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_11,5,no,,,,,fill patched_* columns after running wall-feature intervention
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20_step_009,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20,9,wall_hit,wall_up,yes,post_to_post,post,post,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_11_step_005,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_11,5,no,,,,,fill patched_* columns after running wall-feature intervention
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20_step_009,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20,9,wall_hit,wall_up,yes,pre_to_post,pre,post,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_11_step_005,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_11,5,no,,,,,fill patched_* columns after running wall-feature intervention
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,2,backtrack,wall_right,no,none,,,,,,no,no,RIGHT,none,,unpatched baseline row
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,2,backtrack,wall_right,no,pre_to_pre,pre,pre,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_016,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,16,yes,,,,,fill patched_* columns after running wall-feature intervention
