audit_type,event_id,example_id,trajectory_id,failure_category,reasoning_step_idx,reasoning_progress,event_type,previous_action,current_action,strictly_sustained_to_trace_end,shift_id,question_id,question_family,previous_answer,current_answer,ground_truth,shift_type,persistent_belief_error
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000:action:3,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,3,0.09375,action_identity_change_without_optimality_change,RIGHT,UP,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000:action:4,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,4,0.125,action_identity_change_without_optimality_change,UP,RIGHT,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000:action:5,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,5,0.15625,action_identity_change_without_optimality_change,RIGHT,UP,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000:action:13,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,13,0.40625,action_identity_change_without_optimality_change,UP,RIGHT,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000:action:15,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,15,0.46875,action_identity_change_without_optimality_change,RIGHT,UP,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000:action:18,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,18,0.5625,action_identity_change_without_optimality_change,UP,RIGHT,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001:action:10,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,10,0.3125,transient_optimal_to_suboptimal,UP,LEFT,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001:action:11,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,11,0.34375,suboptimal_to_optimal_recovery,LEFT,UP,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002:action:1,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,backtrack,1,0.03125,action_identity_change_without_optimality_change,DOWN,LEFT,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002:action:8,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,backtrack,8,0.25,action_identity_change_without_optimality_change,LEFT,DOWN,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002:action:9,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,backtrack,9,0.28125,action_identity_change_without_optimality_change,DOWN,LEFT,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002:action:20,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,backtrack,20,0.625,action_identity_change_without_optimality_change,LEFT,DOWN,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003:action:1,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,short_loop,1,0.03125,suboptimal_to_optimal_recovery,DOWN,LEFT,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003:action:12,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,short_loop,12,0.375,sustained_optimal_to_suboptimal,LEFT,DOWN,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003:action:16,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,short_loop,16,0.5,suboptimal_to_optimal_recovery,DOWN,LEFT,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003:action:22,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,short_loop,22,0.6875,transient_optimal_to_suboptimal,LEFT,RIGHT,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003:action:23,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,short_loop,23,0.71875,suboptimal_to_optimal_recovery,RIGHT,LEFT,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_005:action:9,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_005,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,9,0.3333333333333333,sustained_optimal_to_suboptimal,DOWN,RIGHT,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_005:action:10,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_005,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,10,0.37037037037037035,suboptimal_to_optimal_recovery,RIGHT,DOWN,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_005:action:11,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_005,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,11,0.4074074074074074,transient_optimal_to_suboptimal,DOWN,RIGHT,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_005:action:12,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_005,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,12,0.4444444444444444,suboptimal_to_optimal_recovery,RIGHT,DOWN,False,,,,,,,,
belief_shift,,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,28,0.875,,,,,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000:has_key:28,has_key,core,no,invalid,no,invalid_boundary,False
belief_shift,,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,30,0.9375,,,,,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000:has_key:30,has_key,core,invalid,no,no,invalid_boundary,False
belief_shift,,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,2,0.0625,,,,,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000:door_open:2,door_open,core,no,yes,no,belief_error_onset,True
belief_shift,,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,6,0.1875,,,,,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000:door_open:6,door_open,core,yes,no,no,belief_error_recovery,False
belief_shift,,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,8,0.25,,,,,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000:door_open:8,door_open,core,no,yes,no,belief_error_onset,True
