question_id,question_family,n_positions,error_and_next_suboptimal,error_and_next_optimal,correct_and_next_suboptimal,correct_and_next_optimal,odds_ratio,fisher_exact_p,fdr_bh_q
agent_location,coordinates,695,8,81,92,514,0.5517981749865808,0.14524576455719365,0.31954068202582603
door_location,coordinates,695,0,0,100,595,nan,1.0,1.0
door_open,core,673,44,212,50,367,1.5233962264150944,0.06690067037842612,0.21025924976076782
door_open_after_down,action_effects,131,0,7,21,103,0.0,0.596966998977321,1.0
door_open_after_left,action_effects,222,1,13,9,199,1.7008547008547008,0.4859591808122809,0.8909251648225149
door_open_after_right,action_effects,160,2,7,36,115,0.9126984126984127,1.0,1.0
door_open_after_up,action_effects,166,0,1,30,135,0.0,1.0,1.0
goal_location,coordinates,695,6,73,94,522,0.45642669775575634,0.08679750319322863,0.2386931337813787
has_key,core,685,8,6,92,579,8.391304347826088,0.00022389925322942577,0.0012314458927618417
has_key_after_down,action_effects,135,0,1,21,113,0.0,1.0,1.0
has_key_after_left,action_effects,224,0,6,10,208,0.0,1.0,1.0
has_key_after_right,action_effects,162,0,0,38,124,nan,1.0,1.0
has_key_after_up,action_effects,170,0,1,30,139,0.0,1.0,1.0
hit_wall_after_down,action_effects,133,12,46,8,67,2.1847826086956523,0.1428630260130597,0.31954068202582603
hit_wall_after_left,action_effects,213,3,74,6,130,0.8783783783783784,1.0,1.0
hit_wall_after_right,action_effects,162,20,38,18,86,2.5146198830409356,0.01966087662276192,0.07208988095012704
hit_wall_after_up,action_effects,165,8,49,22,86,0.6382189239332097,0.39786893284335956,0.7957378656867191
key_location,coordinates,695,0,0,100,595,nan,1.0,1.0
wall_down,wall_directional,643,16,36,77,514,2.966810966810967,0.0015007262781026069,0.00660319562365147
wall_left,wall_directional,636,14,9,79,534,10.514767932489452,2.2034320068778897e-07,2.4237752075656786e-06
wall_right,wall_directional,645,25,1,71,548,192.95774647887325,2.4924587272684402e-21,5.483409199990568e-20
wall_up,wall_directional,632,16,16,74,526,7.108108108108108,7.282221095039778e-07,5.340295469695838e-06
