commitment_step,commitment_step_progress,example_id,failure_category,final_action,n_reasoning_prefixes,n_reasoning_steps,observed_action,optimal_actions_json,recovery_step,recovery_step_progress,selection_stage,source_dataset,step_index,trajectory_group,trajectory_id,trajectory_remains_optimal,wrong_turn_detected,wrong_turn_step_majority,wrong_turn_step_majority_progress,wrong_turn_step_strict,wrong_turn_step_strict_progress,n_invalid_prefixes,valid_prefix_fraction
1,0.03333333333333333,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,none,UP,31,30,UP,"[""UP""]",1,0.03333333333333333,context,trajectory_candidates:balanced_failure_modes_with_controls,1,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,False,False,,,,,0,1.0
13,0.5909090909090909,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,backtrack,DOWN,23,22,DOWN,"[""DOWN"", ""LEFT""]",13,0.5909090909090909,failure,trajectory_candidates:balanced_failure_modes_with_controls,2,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,False,False,,,,,0,1.0
16,0.5517241379310345,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,short_loop,LEFT,30,29,LEFT,"[""LEFT""]",1,0.034482758620689655,failure,trajectory_candidates:balanced_failure_modes_with_controls,3,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,False,False,,,,,0,1.0
0,0.0,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_001,none,LEFT,33,32,LEFT,"[""LEFT""]",,,context,trajectory_candidates:balanced_failure_modes_with_controls,1,stay_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,True,False,,,,,0,1.0
25,0.78125,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,backtrack,RIGHT,33,32,RIGHT,"[""RIGHT""]",3,0.09375,failure,trajectory_candidates:balanced_failure_modes_with_controls,2,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,False,False,,,,,0,1.0
0,0.0,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_11_step_004,none,DOWN,31,30,DOWN,"[""DOWN""]",,,context,trajectory_candidates:balanced_failure_modes_with_controls,4,stay_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_11,True,False,,,,,0,1.0
,,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_11_step_006,short_loop,LEFT,29,28,LEFT,"[""LEFT""]",,,failure,trajectory_candidates:balanced_failure_modes_with_controls,6,go_wrong,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_11,False,False,,,,,1,0.9655172413793104
0,0.0,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_12_step_003,none,RIGHT,31,30,RIGHT,"[""RIGHT""]",,,context,trajectory_candidates:balanced_failure_modes_with_controls,3,stay_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_12,True,False,,,,,0,1.0
0,0.0,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_13_step_000,none,RIGHT,27,26,RIGHT,"[""RIGHT""]",,,context,trajectory_candidates:balanced_failure_modes_with_controls,0,stay_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_13,True,False,,,,,0,1.0
18,0.6923076923076923,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_000,avoidable_detour,DOWN,27,26,DOWN,"[""RIGHT""]",15,0.5769230769230769,failure,trajectory_candidates:balanced_failure_modes_with_controls,0,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,False,True,14,0.5384615384615384,18,0.6923076923076923,0,1.0
11,0.4074074074074074,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_006,none,DOWN,28,27,DOWN,"[""DOWN""]",1,0.037037037037037035,context,trajectory_candidates:balanced_failure_modes_with_controls,6,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,False,False,,,,,0,1.0
11,0.34375,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_007,backtrack,UP,33,32,UP,"[""DOWN""]",2,0.0625,failure,trajectory_candidates:balanced_failure_modes_with_controls,7,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,False,True,5,0.15625,11,0.34375,0,1.0
24,0.8,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010,none,DOWN,31,30,DOWN,"[""DOWN""]",16,0.5333333333333333,context,trajectory_candidates:balanced_failure_modes_with_controls,10,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,False,True,1,0.03333333333333333,,,0,1.0
9,0.34615384615384615,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_012,oscillation_2cycle,DOWN,27,26,DOWN,"[""DOWN""]",9,0.34615384615384615,failure,trajectory_candidates:balanced_failure_modes_with_controls,12,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,False,False,,,,,0,1.0
16,0.5,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_016,wall_hit,RIGHT,33,32,RIGHT,"[""DOWN""]",4,0.125,failure,trajectory_candidates:balanced_failure_modes_with_controls,16,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,False,True,3,0.09375,16,0.5,0,1.0
0,0.0,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_19_step_002,none,LEFT,33,32,LEFT,"[""LEFT""]",,,context,trajectory_candidates:balanced_failure_modes_with_controls,2,stay_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_19,True,False,,,,,0,1.0
18,0.6666666666666666,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20_step_008,none,UP,28,27,UP,"[""LEFT"", ""UP""]",,,context,trajectory_candidates:balanced_failure_modes_with_controls,8,stay_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20,True,False,,,,,0,1.0
30,0.967741935483871,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20_step_009,wall_hit,UP,32,31,UP,"[""LEFT""]",26,0.8387096774193549,failure,trajectory_candidates:balanced_failure_modes_with_controls,9,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20,False,True,24,0.7741935483870968,30,0.967741935483871,0,1.0
11,0.34375,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20_step_010,freeze_repeat,LEFT,33,32,LEFT,"[""LEFT""]",3,0.09375,failure,trajectory_candidates:balanced_failure_modes_with_controls,10,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20,False,False,,,,,0,1.0
0,0.0,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_21_step_009,none,UP,33,32,UP,"[""UP""]",,,context,trajectory_candidates:balanced_failure_modes_with_controls,9,stay_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_21,True,False,,,,,0,1.0
1,0.05,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_23_step_006,none,UP,21,20,UP,"[""UP""]",1,0.05,context,trajectory_candidates:balanced_failure_modes_with_controls,6,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_23,False,False,,,,,0,1.0
1,0.03225806451612903,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_25_step_004,none,UP,32,31,UP,"[""UP""]",1,0.03225806451612903,context,trajectory_candidates:balanced_failure_modes_with_controls,4,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_25,False,False,,,,,0,1.0
20,0.625,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_33_step_003,oscillation_2cycle,RIGHT,33,32,RIGHT,"[""DOWN"", ""RIGHT""]",1,0.03125,failure,trajectory_candidates:balanced_failure_modes_with_controls,3,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_33,False,False,,,,,0,1.0
0,0.0,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_57_step_003,freeze_repeat,LEFT,27,26,LEFT,"[""LEFT""]",,,failure,trajectory_candidates:balanced_failure_modes_with_controls,3,stay_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_57,True,False,,,,,0,1.0
