trajectory_id,model,api_model_id,reasoning_setting,temperature,sampling_condition,grid_id,grid_size,difficulty,observed_wall_fraction,grid_replicate,trajectory_complete,goal_reached,steps,optimal_path_length,optimal_action_fraction,valid_action_fraction,invalid_output_rate,api_failure_rate,truncation_or_failure,step_limit_reached,total_output_tokens,max_call_output_tokens,total_runtime_seconds,p50_call_runtime_seconds,p95_call_runtime_seconds,total_prompt_tokens,total_tokens,estimated_cost_usd
gpt-oss-20b__low__size7_difficulty0.0_grid10__greedy_t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,greedy,size7_difficulty0.0_grid10,7,0.0,0.0,10,True,True,3,3,1.0,1.0,0.0,0.0,False,False,238,139,2.6579069980070926,0.6364238779642619,1.3516022135096137,1455,1693,0.00012035
gpt-oss-20b__low__size7_difficulty0.0_grid10__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid10,7,0.0,0.0,10,True,True,3,3,1.0,1.0,0.0,0.0,False,False,212,101,2.43800263304729,0.7440291289822198,1.0335873071337118,1455,1667,0.00011515000000000001
gpt-oss-20b__low__size7_difficulty0.0_grid10__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid10,7,0.0,0.0,10,True,True,3,3,1.0,1.0,0.0,0.0,False,False,282,196,2.9286504450719804,0.5643131540273316,1.7136458051041699,1455,1737,0.00012915
gpt-oss-20b__low__size7_difficulty0.0_grid10__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid10,7,0.0,0.0,10,True,True,3,3,1.0,1.0,0.0,0.0,False,False,254,134,2.6342491329996847,0.8283746149973013,1.1915153108362575,1455,1709,0.00012355
gpt-oss-20b__low__size7_difficulty0.0_grid11__greedy_t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,greedy,size7_difficulty0.0_grid11,7,0.0,0.0,11,True,True,3,3,1.0,1.0,0.0,0.0,False,False,294,136,3.129483330063522,1.1687751730205491,1.3729032793198712,1455,1749,0.00013155
gpt-oss-20b__low__size7_difficulty0.0_grid11__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid11,7,0.0,0.0,11,True,True,3,3,1.0,1.0,0.0,0.0,False,False,266,133,3.271920420927927,0.9022377609508112,1.553935898776399,1455,1721,0.00012595
gpt-oss-20b__low__size7_difficulty0.0_grid11__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid11,7,0.0,0.0,11,True,True,3,3,1.0,1.0,0.0,0.0,False,False,174,76,2.10695420706179,0.678219627996441,0.8561891704273876,1455,1629,0.00010755000000000001
gpt-oss-20b__low__size7_difficulty0.0_grid11__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid11,7,0.0,0.0,11,True,True,3,3,1.0,1.0,0.0,0.0,False,False,408,187,4.156887546996586,1.3347365279914811,1.743216921610292,1455,1863,0.00015435
gpt-oss-20b__low__size7_difficulty0.0_grid12__greedy_t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,greedy,size7_difficulty0.0_grid12,7,0.0,0.0,12,True,True,4,4,1.0,1.0,0.0,0.0,False,False,364,137,4.3442657040432096,1.080275264015654,1.4599644419795368,1940,2304,0.0001698
gpt-oss-20b__low__size7_difficulty0.0_grid12__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid12,7,0.0,0.0,12,True,True,4,4,1.0,1.0,0.0,0.0,False,False,314,102,3.9266707249335013,1.0922706474666484,1.1896987528540195,1940,2254,0.0001598
