analysis_family,semantic_question,result,estimate,interval_low,interval_high,p_or_q,metric,semantic_utility,central_claim_implication,evidence_relation,source_artifact
Previous belief-action-gap evidence,Do the current labels directly explain the earlier wall-hit and reasoning-patching results?,No direct row join; the earlier failure slice was not labeled with this taxonomy,,,,,scope audit,Interpretive bridge only,The labels motivate a heterogeneous intervention design but do not re-estimate the published behavioral or causal effects.,scope or construct comparison,belief_action_gap.tex
Offline action-distribution change points,Does a distinctive sentence function identify a change point?,No reliable four-way composition difference,0.07236842105263161,,,0.21897810218978103,paired total-variation distance; permutation p,Constrains interpretation,Action-routing boundaries cut across verbal functions; avoid an 'aha/correction sentence' mechanism claim.,direct semantic-label join,final_analysis/matched_semantic_comparisons.csv
Offline action-distribution change points,Is route deliberation enriched at change points?,"Numerically enriched, interval includes zero",0.0526315789473684,-0.0206896551724138,0.1200172413793102,0.899344827001864,paired rate difference; McNemar q,Weak descriptive context,"Routing language is common, but not specific enough to define action-distribution transitions.",direct semantic-label join,final_analysis/matched_semantic_comparisons.csv
Change-point discrimination,Do labels add held-out discrimination beyond progress and length?,"Small, uncertain AUROC increase",0.0285664819944597,-0.0050943704836745,0.066399739224395,,trajectory-held-out AUROC change,Not a dependable monitor,Sentence function is not a practical substitute for action and belief readouts.,direct semantic-label join,final_analysis/incremental_model_comparison.csv
Exact action events,"Do semantic groups differ in recommendation change, loss, recovery, or commitment rates?",No association survives correction,,,,0.4059594040595939,smallest BH q across four event outcomes,Constrains event narratives,No named discourse operation reliably explains whether an action change helps or harms performance.,direct semantic-label join,final_analysis/semantic_outcome_omnibus_tests.csv
Commitment and post-commitment reasoning,Does broad sentence function identify retrospective commitment or explain the post-commitment tail?,No commitment-onset association; labels do not cover all post-commitment tail sentences,,,,0.9508279941236644,commitment-onset within-trajectory permutation q,Constrains commitment interpretation,Do not equate retrospective commitment with one sentence function or infer that later reasoning is semantically useless.,direct semantic-label join,final_analysis/semantic_outcome_omnibus_tests.csv; transition_activation_commitment_v1/post_commitment_reasoning_report.md
Activation geometry,Do semantic groups explain sentence-level activation transitions?,No activation association survives correction,,,,0.1063893610638936,smallest BH q across activation outcomes,No mechanistic localization,Generic representation movement cannot be assigned to one broad reasoning function.,direct semantic-label join,final_analysis/semantic_outcome_omnibus_tests.csv
Behavioral beliefs,Do semantic groups differ in belief error?,No reliable difference in mean belief error,,,,0.9283404992834052,within-trajectory permutation q,No error explanation,Semantic function does not explain action changes through measured belief correctness.,direct semantic-label join,final_analysis/semantic_event_composition.csv; semantic_outcome_omnibus_tests.csv
Behavioral beliefs,Do semantic groups differ in belief uncertainty?,Route deliberation has the highest mean categorical-belief entropy,0.4934293875183901,0.4474802750900079,0.5354243055774908,0.0083991600839916,bits; within-trajectory permutation q,Useful uncertainty stratifier,"Route deliberation marks an uncertainty regime, not a reliably incorrect-belief regime.",direct semantic-label join,final_analysis/semantic_event_composition.csv; semantic_outcome_omnibus_tests.csv
Immediate-action attention,Is the newest-sentence attention increase concentrated by function?,Largest for summaries/restatements; heterogeneity is borderline,0.22420598883659001,,,0.05349465053494651,percentage points per token; permutation p,Candidate prioritization only,Action readout may emphasize compressed conclusions even though those sentences are not selectively enriched at change points.,direct semantic-label join,final_analysis/attention_by_semantic_function.csv
Central-claim candidate slice,Can an action become suboptimal while measured categorical beliefs remain correct?,7 of 18 primary change-point optimality losses have zero error across nine categorical belief readouts,0.3888888888888889,,,,descriptive fraction,High-value intervention sampling,These are direct candidates for testing information-to-action conversion failure.,direct semantic-label join,final_analysis/sentence_label_cpd_analysis_table.csv
Prospective action-event monitor,Are the monitor's text-semantic features the current four-way sentence labels?,No; the monitor uses embedding similarity and novelty features,,,,,feature-definition audit,Prevents construct conflation,"The small prospective text-feature result cannot be attributed to verification, planning, correction, or other taxonomy labels.",scope or construct comparison,practical_action_event_monitor_v1/prediction_report.md
