audit_type,event_id,example_id,trajectory_id,failure_category,reasoning_step_idx,reasoning_progress,reasoning_character_progress,analysis_unit,event_type,previous_action,current_action,strictly_sustained_to_trace_end,shift_id,question_id,question_family,previous_answer,current_answer,ground_truth,shift_type,persistent_belief_error
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000:action:2,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,2,0.025,0.019300361881785282,sentence,action_identity_change_without_optimality_change,RIGHT,UP,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000:action:10,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,10,0.125,0.10735826296743065,sentence,action_identity_change_without_optimality_change,UP,RIGHT,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000:action:12,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,12,0.15,0.12605548854041013,sentence,action_identity_change_without_optimality_change,RIGHT,UP,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000:action:15,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,15,0.1875,0.15470446320868517,sentence,action_identity_change_without_optimality_change,UP,RIGHT,False,,,,,,,,
action_transition,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000:action:17,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,17,0.2125,0.17430639324487335,sentence,action_identity_change_without_optimality_change,RIGHT,UP,False,,,,,,,,
belief_shift,,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,7,0.0875,0.08835946924004826,sentence,,,,,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000:door_open:7,door_open,core,no,yes,no,belief_error_onset,True
belief_shift,,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,9,0.1125,0.10283474065138722,sentence,,,,,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000:door_open:9,door_open,core,yes,no,no,belief_error_recovery,False
belief_shift,,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,14,0.175,0.14505428226779252,sentence,,,,,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000:door_open:14,door_open,core,no,yes,no,belief_error_onset,True
belief_shift,,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,15,0.1875,0.15470446320868517,sentence,,,,,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000:door_open:15,door_open,core,yes,no,no,belief_error_recovery,False
belief_shift,,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,none,16,0.2,0.1697828709288299,sentence,,,,,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000:door_open:16,door_open,core,no,yes,no,belief_error_onset,True
