example_id,trajectory_id,step_index,observed_action,primary_step_failure_mode,selection_reason,optimal_actions_json,grid_text
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,2,DOWN,backtrack,backtrack,"[""DOWN"", ""LEFT""]","  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ # _ A _ # 
3 # _ _ _ # _ _ _ # 
4 # _ # # # D # # # 
5 # _ _ _ _ _ _ G # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # "
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,3,LEFT,short_loop,short_loop_onset,"[""LEFT""]","  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ # _ _ _ # 
3 # _ _ _ # _ A _ # 
4 # _ # # # D # # # 
5 # _ _ _ _ _ _ G # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # "
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,2,RIGHT,backtrack,backtrack,"[""RIGHT""]","  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ _ _ _ _ # 
2 # _ _ _ # _ G _ # 
3 # _ _ _ # _ _ _ # 
4 # # D # # # _ # # 
5 # A _ _ # _ _ _ # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # "
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_11_step_005,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_11,5,UP,backtrack,backtrack,"[""LEFT"", ""UP""]","  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ _ _ _ _ # 
3 # _ _ _ # _ A _ # 
4 # D # # # # # # # 
5 # _ _ _ # _ _ _ # 
6 # G _ _ _ _ _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # "
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_11_step_006,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_11,6,LEFT,short_loop,short_loop_onset,"[""LEFT""]","  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ _ _ A _ # 
3 # _ _ _ # _ _ _ # 
4 # D # # # # # # # 
5 # _ _ _ # _ _ _ # 
6 # G _ _ _ _ _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # "
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_11_step_007,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_11,7,LEFT,short_loop,short_loop_representative,"[""LEFT""]","  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ _ A _ _ # 
3 # _ _ _ # _ _ _ # 
4 # D # # # # # # # 
5 # _ _ _ # _ _ _ # 
6 # G _ _ _ _ _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # "
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_12_step_004,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_12,4,LEFT,backtrack,backtrack,"[""LEFT""]","  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ D _ G _ # 
3 # _ _ _ # _ _ _ # 
4 # _ # # # # # # # 
5 # _ A _ # _ _ _ # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ _ _ _ _ # 
8 # # # # # # # # # "
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_12_step_005,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_12,5,UP,short_loop,short_loop_onset,"[""UP""]","  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ D _ G _ # 
3 # _ _ _ # _ _ _ # 
4 # _ # # # # # # # 
5 # A _ _ # _ _ _ # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ _ _ _ _ # 
8 # # # # # # # # # "
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_12_step_006,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_12,6,UP,short_loop,short_loop_representative,"[""UP""]","  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ D _ G _ # 
3 # _ _ _ # _ _ _ # 
4 # A # # # # # # # 
5 # _ _ _ # _ _ _ # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ _ _ _ _ # 
8 # # # # # # # # # "
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_13_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_13,1,LEFT,backtrack,backtrack,"[""LEFT""]","  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ _ _ _ _ # 
2 # _ _ _ # _ _ _ # 
3 # G _ _ # _ _ _ # 
4 # D # # # # # _ # 
5 # _ A _ # _ _ _ # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # "
