example_id,question_id,ground_truth_label,greedy_answer,raw_argmax_t0,raw_argmax_t07,raw_argmax_t1,semantic_argmax_t0,semantic_argmax_t07,semantic_argmax_t1,p_yes_t0,p_no_t0,yes_gt_no_t0,p_yes_t07,p_no_t07,yes_gt_no_t07,p_yes_t1,p_no_t1,yes_gt_no_t1,mc_answer,mc_yes_no_answer,mc_p_yes,mc_p_no,mc_yes_gt_no,raw_answer_probs_t0_json,raw_answer_probs_t07_json,raw_answer_probs_t1_json,answer_probs_t0_json,answer_probs_t07_json,answer_probs_t1_json,mc_answer_probs_json
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,wall_down,no,no,B,B,B,no,no,no,0.0,0.999999998300866,False,0.0,0.9999999999916984,False,0.0,0.9999999968255999,False,no,no,0.0,1.0,False,"{""A"": 0.0, ""B"": 0.999999998300866, ""C"": 1.699133899934792e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999999916984, ""C"": 8.301562325353871e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999968255999, ""C"": 3.174400035006137e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.999999998300866, ""unknown"": 1.699133899934792e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999916984, ""unknown"": 8.301562325353871e-12, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999968255999, ""unknown"": 3.174400035006137e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,wall_left,yes,yes,A,A,A,yes,yes,yes,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,yes,yes,1.0,0.0,True,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,wall_right,no,no,B,B,B,no,no,no,0.0,0.999999998300866,False,0.0,0.9999999999997666,False,0.0,0.9999999992916957,False,no,no,0.0,1.0,False,"{""A"": 0.0, ""B"": 0.999999998300866, ""C"": 1.6991339014667487e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999999997666, ""C"": 2.3340441050740654e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999992916957, ""C"": 7.083043912745734e-10, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.999999998300866, ""unknown"": 1.6991339014667487e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999997666, ""unknown"": 2.3340441050740654e-13, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999992916957, ""unknown"": 7.083043912745734e-10, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,wall_up,no,no,B,B,B,no,no,no,0.0,0.9999999975277748,False,1.3919846482057077e-12,0.9999999999969439,False,1.4994803642137364e-09,0.9999999719215942,False,no,no,0.0,1.0,False,"{""A"": 0.0, ""B"": 0.9999999975277747, ""C"": 2.4722252347806084e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.3919846482057075e-12, ""B"": 0.9999999999969438, ""C"": 1.6641264431211497e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.4994803642137364e-09, ""B"": 0.9999999719215942, ""C"": 2.6578925417492255e-08, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999975277748, ""unknown"": 2.4722252347806088e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999969439, ""unknown"": 1.66412644312115e-12, ""yes"": 1.3919846482057077e-12}","{""invalid"": 0.0, ""no"": 0.9999999719215942, ""unknown"": 2.6578925417492255e-08, ""yes"": 1.4994803642137364e-09}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step1,wall_down,no,no,B,B,B,no,no,no,3.5970664428792384e-09,0.9999999866250933,False,0.0,0.9999999999996012,False,5.626759021192619e-08,0.9999999339545688,False,no,no,0.0,1.0,False,"{""A"": 3.5970664428792384e-09, ""B"": 0.9999999866250933, ""C"": 9.777840347438451e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999999996012, ""C"": 3.988102788683629e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 5.626759021192619e-08, ""B"": 0.9999999339545688, ""C"": 9.77784103958008e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999866250933, ""unknown"": 9.777840347438451e-09, ""yes"": 3.5970664428792384e-09}","{""invalid"": 0.0, ""no"": 0.9999999999996012, ""unknown"": 3.988102788683629e-13, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999339545688, ""unknown"": 9.77784103958008e-09, ""yes"": 5.626759021192619e-08}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step1,wall_left,yes,yes,A,A,A,yes,yes,yes,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,yes,yes,1.0,0.0,True,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step1,wall_right,no,no,B,B,B,no,no,no,0.0,0.9999999964029336,False,0.0,0.9999999999997666,False,0.0,0.999999998074629,False,no,no,0.0,1.0,False,"{""A"": 0.0, ""B"": 0.9999999964029336, ""C"": 3.597066483397835e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999999997666, ""C"": 2.334035201418255e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.999999998074629, ""C"": 1.925370946258227e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999964029336, ""unknown"": 3.597066483397835e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999997666, ""unknown"": 2.334035201418255e-13, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.999999998074629, ""unknown"": 1.925370946258227e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step1,wall_up,no,no,B,B,B,no,no,no,0.0,0.9999999990905192,False,0.0,1.0,False,0.0,0.999999998074629,False,no,no,0.0,1.0,False,"{""A"": 0.0, ""B"": 0.9999999990905191, ""C"": 9.094808400623114e-10, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 1.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.999999998074629, ""C"": 1.925370954789699e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999990905192, ""unknown"": 9.094808400623115e-10, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.999999998074629, ""unknown"": 1.925370954789699e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_1_step0,wall_down,no,no,B,B,B,no,no,no,0.0,0.9999999968255999,False,0.0,0.9999999999980105,False,0.0,0.9999999940694401,False,no,no,0.0,1.0,False,"{""A"": 0.0, ""B"": 0.9999999968255999, ""C"": 3.1744000365264964e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999999980105, ""C"": 1.9894812679090048e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999940694401, ""C"": 5.930560019167754e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999968255999, ""unknown"": 3.1744000365264964e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999980105, ""unknown"": 1.9894812679090048e-12, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999940694401, ""unknown"": 5.930560019167754e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_1_step0,wall_left,no,no,B,B,B,no,no,no,0.0,0.999999998300866,False,0.0,0.999999999999721,False,1.1911842024132859e-07,0.9999995951313444,False,no,no,0.0,1.0,False,"{""A"": 0.0, ""B"": 0.999999998300866, ""C"": 1.6991338990126478e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999999997209, ""C"": 2.790364476842089e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.1911842024132859e-07, ""B"": 0.9999995951313444, ""C"": 2.857502353733134e-07, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.999999998300866, ""unknown"": 1.6991338990126478e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.999999999999721, ""unknown"": 2.7903644768420893e-13, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999995951313444, ""unknown"": 2.857502353733134e-07, ""yes"": 1.1911842024132859e-07}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}"
