example_id,question_id,ground_truth_label,greedy_answer,raw_argmax_t0,raw_argmax_t07,raw_argmax_t1,semantic_argmax_t0,semantic_argmax_t07,semantic_argmax_t1,p_yes_t0,p_no_t0,yes_gt_no_t0,p_yes_t07,p_no_t07,yes_gt_no_t07,p_yes_t1,p_no_t1,yes_gt_no_t1,mc_answer,mc_yes_no_answer,mc_p_yes,mc_p_no,mc_yes_gt_no,raw_answer_probs_t0_json,raw_answer_probs_t07_json,raw_answer_probs_t1_json,answer_probs_t0_json,answer_probs_t07_json,answer_probs_t1_json,mc_answer_probs_json
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,wall_down,no,no,B,B,B,no,no,no,4.618724747575124e-09,0.9999999886610704,False,1.9523403297700875e-13,0.9999999999986404,False,1.3232868068316223e-09,0.9999999940579883,False,no,no,0.0,0.9999999999999999,False,"{""A"": 4.618724747575124e-09, ""B"": 0.9999999886610704, ""C"": 6.720204854206425e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.9523403297700875e-13, ""B"": 0.9999999999986404, ""C"": 1.1643429364582964e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.3232868068316225e-09, ""B"": 0.9999999940579886, ""C"": 4.6187247869269214e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999886610704, ""unknown"": 6.720204854206425e-09, ""yes"": 4.618724747575124e-09}","{""invalid"": 0.0, ""no"": 0.9999999999986404, ""unknown"": 1.1643429364582964e-12, ""yes"": 1.9523403297700875e-13}","{""invalid"": 0.0, ""no"": 0.9999999940579883, ""unknown"": 4.618724786926921e-09, ""yes"": 1.3232868068316223e-09}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,wall_left,yes,yes,A,A,A,yes,yes,yes,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,yes,yes,0.9999999999999999,0.0,True,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,wall_right,no,no,B,B,B,no,no,no,0.0,0.9999999971986018,False,1.1426105793288526e-13,0.9999999999989118,False,0.0,0.9999999975277748,False,no,no,0.0,0.9999999999999999,False,"{""A"": 0.0, ""B"": 0.9999999971986018, ""C"": 2.8013981979569306e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.1426105793288526e-13, ""B"": 0.9999999999989118, ""C"": 9.739329000495389e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999975277747, ""C"": 2.472225237009592e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999971986018, ""unknown"": 2.8013981979569306e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999989118, ""unknown"": 9.739329000495389e-13, ""yes"": 1.1426105793288526e-13}","{""invalid"": 0.0, ""no"": 0.9999999975277748, ""unknown"": 2.4722252370095925e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,wall_up,no,no,B,B,B,no,no,no,6.250764288341654e-10,0.9999999962005235,False,9.557545292769502e-14,0.9999999999989305,False,0.0,0.9999999940694401,False,no,no,0.0,0.9999999999999999,False,"{""A"": 6.250764288341654e-10, ""B"": 0.9999999962005235, ""C"": 3.174400035883966e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 9.5575452927695e-14, ""B"": 0.9999999999989304, ""C"": 9.739366153154207e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999940694401, ""C"": 5.930560000645794e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999962005235, ""unknown"": 3.174400035883966e-09, ""yes"": 6.250764288341654e-10}","{""invalid"": 0.0, ""no"": 0.9999999999989305, ""unknown"": 9.73936615315421e-13, ""yes"": 9.557545292769502e-14}","{""invalid"": 0.0, ""no"": 0.9999999940694401, ""unknown"": 5.930560000645794e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step1,wall_down,no,no,B,B,B,no,no,no,2.1817310973544853e-09,0.9999999918877089,False,0.0,0.9999999999996665,False,2.472225216825037e-09,0.99999999080757,False,no,no,0.0,0.9999999999999999,False,"{""A"": 2.181731097354485e-09, ""B"": 0.9999999918877088, ""C"": 5.930559996522708e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999999996665, ""C"": 3.335911090326515e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 2.472225216825037e-09, ""B"": 0.99999999080757, ""C"": 6.72020488275372e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999918877089, ""unknown"": 5.930559996522709e-09, ""yes"": 2.1817310973544853e-09}","{""invalid"": 0.0, ""no"": 0.9999999999996665, ""unknown"": 3.335911090326515e-13, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.99999999080757, ""unknown"": 6.72020488275372e-09, ""yes"": 2.472225216825037e-09}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step1,wall_left,yes,yes,A,A,A,yes,yes,yes,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,yes,yes,0.9999999999999999,0.0,True,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step1,wall_right,no,no,B,B,B,no,no,no,0.0,0.9999999964029336,False,0.0,0.9999999999983359,False,0.0,0.9999999959239897,False,no,no,0.0,0.9999999999999999,False,"{""A"": 0.0, ""B"": 0.9999999964029336, ""C"": 3.5970664748321795e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999999983358, ""C"": 1.6641327912753552e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999959239896, ""C"": 4.076010327682336e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999964029336, ""unknown"": 3.5970664748321795e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999983359, ""unknown"": 1.6641327912753554e-12, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999959239897, ""unknown"": 4.076010327682337e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step1,wall_up,no,no,B,B,B,no,no,no,0.0,1.0,False,3.9881027886802766e-13,0.9999999999989198,False,1.925370937812181e-09,0.9999999913544242,False,no,no,0.0,0.9999999999999999,False,"{""A"": 0.0, ""B"": 1.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 3.9881027886802766e-13, ""B"": 0.9999999999989198, ""C"": 6.814337320584955e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.9253709378121805e-09, ""B"": 0.9999999913544241, ""C"": 6.720204893294445e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999989198, ""unknown"": 6.814337320584955e-13, ""yes"": 3.9881027886802766e-13}","{""invalid"": 0.0, ""no"": 0.9999999913544242, ""unknown"": 6.720204893294446e-09, ""yes"": 1.925370937812181e-09}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step2,wall_down,no,no,B,B,B,no,no,no,3.17440000393954e-09,0.9999999881966861,False,0.0,0.9999999999996012,False,0.0,0.9999999932797952,False,no,no,0.0,0.9999999999999999,False,"{""A"": 3.17440000393954e-09, ""B"": 0.9999999881966861, ""C"": 8.628913846969173e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999999996012, ""C"": 3.9881027886822345e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.999999993279795, ""C"": 6.720204872418286e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999881966861, ""unknown"": 8.628913846969173e-09, ""yes"": 3.17440000393954e-09}","{""invalid"": 0.0, ""no"": 0.9999999999996012, ""unknown"": 3.9881027886822345e-13, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999932797952, ""unknown"": 6.720204872418287e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step2,wall_left,yes,yes,A,A,A,yes,yes,yes,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,yes,yes,0.9999999999999999,0.0,True,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}"
