row_id,example_id,trajectory_id,step_index,reasoning_reveal_pct,question_id,oracle_prompt_family,oracle_prompt,behavioral_label,representational_label,ground_truth,optimal_actions_json,normalized_optimal_actions_json,segment_response,full_sequence_response,normalized_behavioral_label,normalized_representational_label,normalized_ground_truth,normalized_segment_response,normalized_full_sequence_response,segment_matches_behavioral_label,full_sequence_matches_behavioral_label,segment_matches_representational_label,full_sequence_matches_representational_label,segment_matches_ground_truth,full_sequence_matches_ground_truth,segment_matches_optimal_action_set,full_sequence_matches_optimal_action_set
ao_together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0_wall_down_r0,together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,together_ai_openai_gpt-oss-20b_size7_comp0.0_0,0,0,wall_down,local_grid_state,"Given these activations, is the cell immediately DOWN of the agent a wall? Answer with exactly one of: yes, no, unknown.",no,no,no,"[""RIGHT"", ""DOWN""]","[""down"",""right""]",,no,no,no,no,,no,False,True,False,True,False,True,False,False
ao_together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0_model_action_r0,together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,together_ai_openai_gpt-oss-20b_size7_comp0.0_0,0,0,model_action,model_action,"If the model had to answer now based only on these activations, which next action would it most likely output? Answer with exactly one of: UP, DOWN, LEFT, RIGHT, unknown.",RIGHT,,RIGHT,"[""RIGHT"", ""DOWN""]","[""down"",""right""]",,RIGHT,right,,right,,right,False,True,False,False,False,True,False,True
ao_together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0_optimal_action_r0,together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,together_ai_openai_gpt-oss-20b_size7_comp0.0_0,0,0,optimal_action,optimal_action,"Given these activations and the current DoorKey state, which next action is shortest-path optimal? Answer with exactly one of: UP, DOWN, LEFT, RIGHT, unknown.",,,,"[""RIGHT"", ""DOWN""]","[""down"",""right""]",,RIGHT,,,,,right,False,False,False,False,False,False,False,True
ao_together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0_wall_down_r25,together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,together_ai_openai_gpt-oss-20b_size7_comp0.0_0,0,25,wall_down,local_grid_state,"Given these activations, is the cell immediately DOWN of the agent a wall? Answer with exactly one of: yes, no, unknown.",no,,no,"[""RIGHT"", ""DOWN""]","[""down"",""right""]",,no,no,,no,,no,False,True,False,False,False,True,False,False
ao_together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0_model_action_r25,together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,together_ai_openai_gpt-oss-20b_size7_comp0.0_0,0,25,model_action,model_action,"If the model had to answer now based only on these activations, which next action would it most likely output? Answer with exactly one of: UP, DOWN, LEFT, RIGHT, unknown.",DOWN,,DOWN,"[""RIGHT"", ""DOWN""]","[""down"",""right""]",,RIGHT,down,,down,,right,False,False,False,False,False,False,False,True
ao_together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0_optimal_action_r25,together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,together_ai_openai_gpt-oss-20b_size7_comp0.0_0,0,25,optimal_action,optimal_action,"Given these activations and the current DoorKey state, which next action is shortest-path optimal? Answer with exactly one of: UP, DOWN, LEFT, RIGHT, unknown.",,,,"[""RIGHT"", ""DOWN""]","[""down"",""right""]",,RIGHT,,,,,right,False,False,False,False,False,False,False,True
ao_together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0_wall_down_r50,together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,together_ai_openai_gpt-oss-20b_size7_comp0.0_0,0,50,wall_down,local_grid_state,"Given these activations, is the cell immediately DOWN of the agent a wall? Answer with exactly one of: yes, no, unknown.",invalid,,no,"[""RIGHT"", ""DOWN""]","[""down"",""right""]",,no,invalid,,no,,no,False,False,False,False,False,True,False,False
ao_together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0_model_action_r50,together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,together_ai_openai_gpt-oss-20b_size7_comp0.0_0,0,50,model_action,model_action,"If the model had to answer now based only on these activations, which next action would it most likely output? Answer with exactly one of: UP, DOWN, LEFT, RIGHT, unknown.",DOWN,,DOWN,"[""RIGHT"", ""DOWN""]","[""down"",""right""]",,DOWN,down,,down,,down,False,True,False,False,False,True,False,True
ao_together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0_optimal_action_r50,together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,together_ai_openai_gpt-oss-20b_size7_comp0.0_0,0,50,optimal_action,optimal_action,"Given these activations and the current DoorKey state, which next action is shortest-path optimal? Answer with exactly one of: UP, DOWN, LEFT, RIGHT, unknown.",,,,"[""RIGHT"", ""DOWN""]","[""down"",""right""]",,RIGHT,,,,,right,False,False,False,False,False,False,False,True
ao_together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0_wall_down_r75,together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,together_ai_openai_gpt-oss-20b_size7_comp0.0_0,0,75,wall_down,local_grid_state,"Given these activations, is the cell immediately DOWN of the agent a wall? Answer with exactly one of: yes, no, unknown.",invalid,,no,"[""RIGHT"", ""DOWN""]","[""down"",""right""]",,no,invalid,,no,,no,False,False,False,False,False,True,False,False
