event_id,example_id,trajectory_id,failure_category,reasoning_step_idx,reasoning_progress,event_type,previous_action,current_action,strictly_sustained_to_trace_end,belief_shift_id,question_id,question_family,shift_type,persistent_belief_error,belief_shift_step_idx,belief_shift_minus_action_event_steps,temporal_relation
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002:action:23,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,backtrack,23,0.71875,sustained_optimal_to_suboptimal,RIGHT,UP,False,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002:door_open:23,door_open,core,belief_error_onset,True,23,0,coincides
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002:action:23,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,backtrack,23,0.71875,sustained_optimal_to_suboptimal,RIGHT,UP,False,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002:wall_down:23,wall_down,wall_directional,belief_error_onset,True,23,0,coincides
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010:action:1,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,none,1,0.03333333333333333,sustained_optimal_to_suboptimal,DOWN,LEFT,False,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010:wall_right:1,wall_right,wall_directional,belief_error_onset,True,1,0,coincides
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010:action:1,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,none,1,0.03333333333333333,sustained_optimal_to_suboptimal,DOWN,LEFT,False,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010:wall_left:1,wall_left,wall_directional,belief_error_onset,True,1,0,coincides
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010:action:1,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,none,1,0.03333333333333333,sustained_optimal_to_suboptimal,DOWN,LEFT,False,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010:wall_up:1,wall_up,wall_directional,belief_error_onset,True,1,0,coincides
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010:action:1,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,none,1,0.03333333333333333,sustained_optimal_to_suboptimal,DOWN,LEFT,False,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010:wall_down:1,wall_down,wall_directional,belief_error_onset,True,1,0,coincides
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_011:action:28,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_011,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,backtrack,28,0.35,sustained_optimal_to_suboptimal,RIGHT,UP,False,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_011:door_open:28,door_open,core,belief_error_onset,True,28,0,coincides
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_26_step_008:action:120,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_26_step_008,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_26,short_loop,120,0.5172413793103449,sustained_optimal_to_suboptimal,LEFT,RIGHT,False,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_26_step_008:hit_wall_after_right:120,hit_wall_after_right,action_effects,belief_error_onset,True,120,0,coincides
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_33_step_002:action:117,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_33_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_33,backtrack,117,0.8125,sustained_optimal_to_suboptimal,DOWN,LEFT,True,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_33_step_002:door_open:117,door_open,core,belief_error_onset,True,117,0,coincides
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_33_step_002:action:117,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_33_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_33,backtrack,117,0.8125,sustained_optimal_to_suboptimal,DOWN,LEFT,True,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_33_step_002:hit_wall_after_left:117,hit_wall_after_left,action_effects,belief_error_onset,True,117,0,coincides
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_34_step_006:action:6,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_34_step_006,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_34,avoidable_detour,6,0.03125,sustained_optimal_to_suboptimal,DOWN,LEFT,False,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_34_step_006:wall_up:6,wall_up,wall_directional,belief_error_onset,True,6,0,coincides
