example_id,question_id,target_variable,question_family,answer_space,variant_id,prompt_preset,grid_text,carrying_key,observed_action,greedy_answer,greedy_answers_json,greedy_modal_answer,greedy_answer_probs_json,greedy_entropy,greedy_valid_parse_rate_for_row,greedy_repeated_agreement_rate_for_row,ground_truth_label,belief_action_consistency,mc_belief_action_consistency,mc_answer,mc_yes_no_answer,mc_answers_json,mc_answer_probs_json,mc_entropy,mc_valid_parse_rate_for_row,sampled_answer,answer_probs_json,entropy,logprob_t0_raw_output,raw_answer_probs_t0_json,answer_probs_t0_json,logprob_answer_t0,logprob_yes_no_answer_t0,entropy_t0,valid_parse_rate_t0_for_row,logprob_t07_raw_output,raw_answer_probs_t07_json,answer_probs_t07_json,logprob_answer_t07,logprob_yes_no_answer_t07,entropy_t07,valid_parse_rate_t07_for_row,logprob_t1_raw_output,raw_answer_probs_t1_json,answer_probs_t1_json,logprob_answer_t1,logprob_yes_no_answer_t1,entropy_t1,valid_parse_rate_t1_for_row
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,wall_right,wall_right,wall_directional,label3,,cardinal_action_explicit,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ # _ K _ # 
3 # _ _ _ # _ A _ # 
4 # _ # # # D # # # 
5 # _ _ _ _ _ _ G # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # ",False,UP,no,"[""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no""]",no,"{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}",1.6017132519074586e-16,1.0,1.0,no,not_applicable,not_applicable,no,no,"[""no"", ""no"", ""yes"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no""]","{""invalid"": 0.0, ""no"": 0.8999999999999999, ""unknown"": 0.0, ""yes"": 0.1}",0.46899559358928133,1.0,no,"{""invalid"": 0.0, ""no"": 0.9999999978716965, ""unknown"": 1.925370945423528e-09, ""yes"": 2.0293260464158348e-10}",6.534833014866391e-08,B,"{""A"": 6.250764230803518e-10, ""B"": 0.9999999934443636, ""C"": 5.930559979722257e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999934443636, ""unknown"": 5.930559979722257e-09, ""yes"": 6.250764230803518e-10}",no,no,1.9064701891648625e-07,1.0,B,"{""A"": 1.9523403297616147e-13, ""B"": 0.9999999999974263, ""C"": 2.37843742765587e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999974263, ""unknown"": 2.37843742765587e-12, ""yes"": 1.9523403297616147e-13}",no,no,1.0379474243328418e-10,1.0,B,"{""A"": 2.0293260464158348e-10, ""B"": 0.9999999978716965, ""C"": 1.925370945423528e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999978716965, ""unknown"": 1.925370945423528e-09, ""yes"": 2.0293260464158348e-10}",no,no,6.534833014866391e-08,1.0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,wall_left,wall_left,wall_directional,label3,,cardinal_action_explicit,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ # _ K _ # 
3 # _ _ _ # _ A _ # 
4 # _ # # # D # # # 
5 # _ _ _ _ _ _ G # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # ",False,UP,yes,"[""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes""]",yes,"{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}",1.6017132519074586e-16,1.0,1.0,no,not_applicable,not_applicable,yes,yes,"[""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""no"", ""yes"", ""yes"", ""yes""]","{""invalid"": 0.0, ""no"": 0.1, ""unknown"": 0.0, ""yes"": 0.8999999999999999}",0.46899559358928133,1.0,yes,"{""invalid"": 0.0, ""no"": 1.4994805378102885e-09, ""unknown"": 2.4722254576886906e-09, ""yes"": 0.999999996028294}",1.2036880796707575e-07,A,"{""A"": 0.9999999932294072, ""B"": 2.8013981423209355e-09, ""C"": 2.8013981423209355e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.1677964875315267e-09}","{""invalid"": 0.0, ""no"": 2.8013981423209355e-09, ""unknown"": 2.8013981423209355e-09, ""yes"": 0.9999999943972038}",yes,yes,1.6726532469865026e-07,1.0,A,"{""A"": 0.9999999999878277, ""B"": 1.1643451571794154e-12, ""C"": 6.943971931934258e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 4.063963919415973e-12}","{""invalid"": 0.0, ""no"": 1.1643451571794154e-12, ""unknown"": 6.943971931934258e-12, ""yes"": 0.9999999999918917}",yes,yes,3.152514661165169e-10,1.0,A,"{""A"": 0.9999999952256798, ""B"": 1.4994805378102883e-09, ""C"": 2.47222545768869e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 8.026140947047588e-10}","{""invalid"": 0.0, ""no"": 1.4994805378102885e-09, ""unknown"": 2.4722254576886906e-09, ""yes"": 0.999999996028294}",yes,yes,1.2036880796707575e-07,1.0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,wall_up,wall_up,wall_directional,label3,,cardinal_action_explicit,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ # _ K _ # 
3 # _ _ _ # _ A _ # 
4 # _ # # # D # # # 
5 # _ _ _ _ _ _ G # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # ",False,UP,no,"[""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no""]",no,"{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}",1.6017132519074586e-16,1.0,1.0,no,potentially_consistent,potentially_consistent,no,no,"[""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no""]","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}",1.6017132519074586e-16,1.0,no,"{""invalid"": 0.0, ""no"": 0.9999999931599591, ""unknown"": 5.930559984132268e-09, ""yes"": 9.094808297384634e-10}",1.9926102455123486e-07,B,"{""A"": 1.925370915705734e-09, ""B"": 0.9999999920482106, ""C"": 5.930559934973541e-09, ""no"": 9.585857341373818e-11, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999921440691, ""unknown"": 5.930559934973541e-09, ""yes"": 1.925370915705734e-09}",no,no,2.2915483484747115e-07,1.0,B,"{""A"": 3.9136577408667135e-14, ""B"": 0.9999999999994842, ""C"": 4.76782027312372e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999994842, ""unknown"": 4.76782027312372e-13, ""yes"": 3.9136577408667135e-14}",no,no,2.2002755256094755e-11,1.0,B,"{""A"": 9.094808297384634e-10, ""B"": 0.9999999931599591, ""C"": 5.930559984132268e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999931599591, ""unknown"": 5.930559984132268e-09, ""yes"": 9.094808297384634e-10}",no,no,1.9926102455123486e-07,1.0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,wall_down,wall_down,wall_directional,label3,,cardinal_action_explicit,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ # _ K _ # 
3 # _ _ _ # _ A _ # 
4 # _ # # # D # # # 
5 # _ _ _ _ _ _ G # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # ",False,UP,no,"[""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no""]",no,"{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}",1.6017132519074586e-16,1.0,1.0,yes,not_applicable,not_applicable,no,no,"[""yes"", ""yes"", ""no"", ""yes"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no""]","{""invalid"": 0.0, ""no"": 0.7, ""unknown"": 0.0, ""yes"": 0.30000000000000004}",0.8812908992306927,1.0,no,"{""invalid"": 0.0, ""no"": 0.9999999885696881, ""unknown"": 8.628913800886976e-09, ""yes"": 2.8013981560804724e-09}",3.272343971574548e-07,B,"{""A"": 1.0305767911198422e-09, ""B"": 0.9999999930388633, ""C"": 5.930559960007643e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999930388633, ""unknown"": 5.930559960007643e-09, ""yes"": 1.0305767911198422e-09}",no,no,2.0288690212964016e-07,1.0,B,"{""A"": 3.9881027886660796e-13, ""B"": 0.9999999999962019, ""C"": 3.3993598387148485e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999962019, ""unknown"": 3.3993598387148485e-12, ""yes"": 3.9881027886660796e-13}",no,no,1.5141458522960443e-10,1.0,B,"{""A"": 2.801398156080472e-09, ""B"": 0.999999988569688, ""C"": 8.628913800886974e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999885696881, ""unknown"": 8.628913800886976e-09, ""yes"": 2.8013981560804724e-09}",no,no,3.272343971574548e-07,1.0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,is_goal_right,is_goal_right,object_directional,label3,,cardinal_action_explicit,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ # _ K _ # 
3 # _ _ _ # _ A _ # 
4 # _ # # # D # # # 
5 # _ _ _ _ _ _ G # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # ",False,UP,no,"[""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no""]",no,"{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}",1.6017132519074586e-16,1.0,1.0,no,not_applicable,not_applicable,no,no,"[""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no""]","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}",1.6017132519074586e-16,1.0,no,"{""invalid"": 0.0, ""no"": 0.9999999987869231, ""unknown"": 1.1677965143032297e-09, ""yes"": 4.528038475075396e-11}",3.7958723710030824e-08,B,"{""A"": 3.1120723013264205e-11, ""B"": 0.9999999992439172, ""C"": 7.083043910165963e-10, ""no"": 1.6657722656623616e-11, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999992605749, ""unknown"": 7.083043910165963e-10, ""yes"": 3.1120723013264205e-11}",no,no,2.3681831117592753e-08,1.0,B,"{""A"": 7.845295958319585e-15, ""B"": 0.9999999999997575, ""C"": 2.334035201416756e-13, ""no"": 1.315476566617426e-15, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999997589, ""unknown"": 2.334035201416756e-13, ""yes"": 7.845295958319585e-15}",no,no,1.0509634160496649e-11,1.0,B,"{""A"": 4.528038475075396e-11, ""B"": 0.9999999987739501, ""C"": 1.1677965143032297e-09, ""no"": 1.2973047434766013e-11, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999987869231, ""unknown"": 1.1677965143032297e-09, ""yes"": 4.528038475075396e-11}",no,no,3.7958723710030824e-08,1.0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,is_goal_left,is_goal_left,object_directional,label3,,cardinal_action_explicit,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ # _ K _ # 
3 # _ _ _ # _ A _ # 
4 # _ # # # D # # # 
5 # _ _ _ _ _ _ G # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # ",False,UP,no,"[""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no""]",no,"{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}",1.6017132519074586e-16,1.0,1.0,no,not_applicable,not_applicable,no,no,"[""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no""]","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}",1.6017132519074586e-16,1.0,no,"{""invalid"": 0.0, ""no"": 0.9999999962891211, ""unknown"": 9.094808376119871e-10, ""yes"": 2.8013981997805268e-09}",1.1226033104226873e-07,B,"{""A"": 1.7331627305224332e-07, ""B"": 0.9999995725846659, ""C"": 2.5217368930463794e-07, ""no"": 1.9253717135351064e-09, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999995745100376, ""unknown"": 2.5217368930463794e-07, ""yes"": 1.7331627305224332e-07}",no,no,1.0033966134189458e-05,1.0,B,"{""A"": 2.2904706424160932e-14, ""B"": 0.9999999999995768, ""C"": 3.9881027886801065e-13, ""no"": 1.5726605481144983e-15, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999995783, ""unknown"": 3.9881027886801065e-13, ""yes"": 2.2904706424160932e-14}",no,no,1.8072915046157878e-11,1.0,B,"{""A"": 2.8013981997805268e-09, ""B"": 0.9999999961100337, ""C"": 9.094808376119871e-10, ""no"": 1.7908739530028998e-10, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999962891211, ""unknown"": 9.094808376119871e-10, ""yes"": 2.8013981997805268e-09}",no,no,1.1226033104226873e-07,1.0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,is_goal_up,is_goal_up,object_directional,label3,,cardinal_action_explicit,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ # _ K _ # 
3 # _ _ _ # _ A _ # 
4 # _ # # # D # # # 
5 # _ _ _ _ _ _ G # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # ",False,UP,no,"[""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no""]",no,"{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}",1.6017132519074586e-16,1.0,1.0,no,not_applicable,not_applicable,no,no,"[""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no""]","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}",1.6017132519074586e-16,1.0,no,"{""invalid"": 0.0, ""no"": 0.9999999990059243, ""unknown"": 9.094808368128951e-10, ""yes"": 8.459489548303824e-11}",3.158031095272181e-08,B,"{""A"": 1.5804407171327754e-10, ""B"": 0.9999999991509969, ""C"": 6.250764292287743e-10, ""no"": 6.588257093261188e-11, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999992168795, ""unknown"": 6.250764292287744e-10, ""yes"": 1.5804407171327757e-10}",no,no,2.5387420724989167e-08,1.0,B,"{""A"": 1.3154815847735722e-15, ""B"": 0.9999999999999305, ""C"": 6.687148321870878e-14, ""no"": 1.3154815847735722e-15, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999999318, ""unknown"": 6.687148321870878e-14, ""yes"": 1.3154815847735722e-15}",no,no,3.0900445632918407e-12,1.0,B,"{""A"": 8.459489548303822e-11, ""B"": 0.9999999989100656, ""C"": 9.09480836812895e-10, ""no"": 9.585857495395461e-11, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999990059243, ""unknown"": 9.094808368128951e-10, ""yes"": 8.459489548303824e-11}",no,no,3.158031095272181e-08,1.0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,is_goal_down,is_goal_down,object_directional,label3,,cardinal_action_explicit,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ # _ K _ # 
3 # _ _ _ # _ A _ # 
4 # _ # # # D # # # 
5 # _ _ _ _ _ _ G # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # ",False,UP,no,"[""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no""]",no,"{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}",1.6017132519074586e-16,1.0,1.0,no,not_applicable,not_applicable,no,no,"[""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no""]","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}",1.6017132519074586e-16,1.0,no,"{""invalid"": 0.0, ""no"": 0.9999999984423784, ""unknown"": 1.4994804040417554e-09, ""yes"": 5.814116482590952e-11}",4.817817283962836e-08,B,"{""A"": 4.3821178252117156e-08, ""B"": 0.9999995390913745, ""C"": 4.157641597974786e-07, ""no"": 1.32328744566504e-09, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.999999540414662, ""unknown"": 4.157641597974786e-07, ""yes"": 4.3821178252117156e-08}",no,no,1.0547454227758416e-05,1.0,B,"{""A"": 5.489145607974778e-15, ""B"": 0.9999999999986018, ""C"": 1.3919846482094554e-12, ""no"": 7.698878892940048e-16, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999986026, ""unknown"": 1.3919846482094554e-12, ""yes"": 5.489145607974778e-15}",no,no,5.710080891877604e-11,1.0,B,"{""A"": 5.814116482590951e-11, ""B"": 0.9999999984257206, ""C"": 1.4994804040417552e-09, ""no"": 1.6657722617662036e-11, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999984423784, ""unknown"": 1.4994804040417554e-09, ""yes"": 5.814116482590952e-11}",no,no,4.817817283962836e-08,1.0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,is_key_right,is_key_right,object_directional,label3,,cardinal_action_explicit,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ # _ K _ # 
3 # _ _ _ # _ A _ # 
4 # _ # # # D # # # 
5 # _ _ _ _ _ _ G # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # ",False,UP,no,"[""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no""]",no,"{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}",1.6017132519074586e-16,1.0,1.0,no,not_applicable,not_applicable,no,no,"[""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no""]","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}",1.6017132519074586e-16,1.0,no,"{""invalid"": 0.0, ""no"": 0.9999999987235815, ""unknown"": 1.1677965117522343e-09, ""yes"": 1.0862199604262866e-10}",4.008955137701505e-08,B,"{""A"": 2.029326049950298e-10, ""B"": 0.9999999990534987, ""C"": 7.083043886837879e-10, ""no"": 3.5264399024657824e-11, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.999999999088763, ""unknown"": 7.083043886837879e-10, ""yes"": 2.029326049950298e-10}",no,no,2.937756714137843e-08,1.0,B,"{""A"": 4.9509310336915925e-11, ""B"": 0.9999999999405333, ""C"": 9.92460807772601e-12, ""no"": 3.273640362969422e-14, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999405661, ""unknown"": 9.92460807772601e-12, ""yes"": 4.9509310336915925e-11}",no,no,2.1433879614394105e-09,1.0,B,"{""A"": 1.0862199604262865e-10, ""B"": 0.999999998708881, ""C"": 1.167796511752234e-09, ""no"": 1.470038860015537e-11, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999987235815, ""unknown"": 1.1677965117522343e-09, ""yes"": 1.0862199604262866e-10}",no,no,4.008955137701505e-08,1.0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,is_key_left,is_key_left,object_directional,label3,,cardinal_action_explicit,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ # _ K _ # 
3 # _ _ _ # _ A _ # 
4 # _ # # # D # # # 
5 # _ _ _ _ _ _ G # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # ",False,UP,no,"[""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no""]",no,"{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}",1.6017132519074586e-16,1.0,1.0,no,not_applicable,not_applicable,no,no,"[""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no"", ""no""]","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}",1.6017132519074586e-16,1.0,no,"{""invalid"": 0.0, ""no"": 0.999999996022986, ""unknown"": 3.1744000174472464e-09, ""yes"": 8.02614017333942e-10}",1.1960433031402264e-07,B,"{""A"": 4.528038475644465e-11, ""B"": 0.9999999994679096, ""C"": 4.868100135871472e-10, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999994679096, ""unknown"": 4.868100135871472e-10, ""yes"": 4.528038475644465e-11}",no,no,1.73834999992123e-08,1.0,B,"{""A"": 1.8801327953101627e-15, ""B"": 0.9999999999998839, ""C"": 1.1426105793296321e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999998839, ""unknown"": 1.1426105793296321e-13, ""yes"": 1.8801327953101627e-15}",no,no,5.171906683374048e-12,1.0,B,"{""A"": 8.02614017333942e-10, ""B"": 0.9999999958200534, ""C"": 3.1744000174472464e-09, ""no"": 2.0293260372993767e-10, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.999999996022986, ""unknown"": 3.1744000174472464e-09, ""yes"": 8.02614017333942e-10}",no,no,1.1960433031402264e-07,1.0
