example_id,question_id,ground_truth_label,greedy_answer,raw_argmax_t0,raw_argmax_t07,raw_argmax_t1,semantic_argmax_t0,semantic_argmax_t07,semantic_argmax_t1,p_yes_t0,p_no_t0,yes_gt_no_t0,p_yes_t07,p_no_t07,yes_gt_no_t07,p_yes_t1,p_no_t1,yes_gt_no_t1,mc_answer,mc_yes_no_answer,mc_p_yes,mc_p_no,mc_yes_gt_no,raw_answer_probs_t0_json,raw_answer_probs_t07_json,raw_answer_probs_t1_json,answer_probs_t0_json,answer_probs_t07_json,answer_probs_t1_json,mc_answer_probs_json
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,wall_down,no,no,B,B,B,no,no,no,0.0,0.999999993279795,False,0.0,0.99999999999943,False,0.0,0.9999999913710861,False,no,no,0.0,1.0,False,"{""A"": 0.0, ""B"": 0.999999993279795, ""C"": 6.720204906233333e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.99999999999943, ""C"": 5.69993752163434e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999913710861, ""C"": 8.628913868347659e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.999999993279795, ""unknown"": 6.720204906233333e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.99999999999943, ""unknown"": 5.69993752163434e-13, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999913710861, ""unknown"": 8.628913868347659e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,wall_left,yes,yes,A,A,A,yes,yes,yes,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,yes,yes,1.0,0.0,True,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,wall_right,no,no,B,B,B,no,no,no,0.0,0.999999998300866,False,8.146614404532435e-13,0.999999999998021,False,0.0,0.9999999988322035,False,no,no,0.0,1.0,False,"{""A"": 0.0, ""B"": 0.999999998300866, ""C"": 1.6991339014667487e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 8.146614404532434e-13, ""B"": 0.9999999999980209, ""C"": 1.1643473780818628e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999988322035, ""C"": 1.167796513275969e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.999999998300866, ""unknown"": 1.6991339014667487e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.999999999998021, ""unknown"": 1.164347378081863e-12, ""yes"": 8.146614404532435e-13}","{""invalid"": 0.0, ""no"": 0.9999999988322035, ""unknown"": 1.167796513275969e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,wall_up,no,no,B,B,B,no,no,no,0.0,0.9999999985005197,False,0.0,0.9999999999998368,False,9.777840358436969e-09,0.9999999835019548,False,no,no,0.0,1.0,False,"{""A"": 0.0, ""B"": 0.9999999985005197, ""C"": 1.4994804069087494e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999999998368, ""C"": 1.6330594417536788e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 9.777840358436967e-09, ""B"": 0.9999999835019547, ""C"": 6.720204848083404e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999985005197, ""unknown"": 1.4994804069087494e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999998368, ""unknown"": 1.6330594417536788e-13, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999835019548, ""unknown"": 6.720204848083405e-09, ""yes"": 9.777840358436969e-09}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step1,wall_down,no,no,B,B,B,no,no,no,3.5970664428792384e-09,0.9999999866250933,False,0.0,0.9999999999988356,False,2.857502006818675e-07,0.9999997090160969,False,no,no,0.0,1.0,False,"{""A"": 3.5970664428792384e-09, ""B"": 0.9999999866250933, ""C"": 9.777840347438451e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999999988356, ""C"": 1.1643473780822293e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 2.857502006818675e-07, ""B"": 0.9999997090160969, ""C"": 5.233702479317663e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999866250933, ""unknown"": 9.777840347438451e-09, ""yes"": 3.5970664428792384e-09}","{""invalid"": 0.0, ""no"": 0.9999999999988356, ""unknown"": 1.1643473780822293e-12, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999997090160969, ""unknown"": 5.233702479317663e-09, ""yes"": 2.857502006818675e-07}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step1,wall_left,yes,yes,A,A,A,yes,yes,yes,1.0,0.0,True,0.999999999997216,1.3919873032003891e-12,True,0.9999999881388802,5.9305599209566885e-09,True,yes,yes,1.0,0.0,True,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.999999999997216, ""B"": 1.3919873032003891e-12, ""C"": 1.3919873032003891e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.9999999881388802, ""B"": 5.9305599209566885e-09, ""C"": 5.9305599209566885e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 1.3919873032003891e-12, ""unknown"": 1.3919873032003891e-12, ""yes"": 0.999999999997216}","{""invalid"": 0.0, ""no"": 5.9305599209566885e-09, ""unknown"": 5.9305599209566885e-09, ""yes"": 0.9999999881388802}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step1,wall_right,no,no,B,B,B,no,no,no,0.0,0.9999999964029336,False,0.0,0.9999999999990261,False,0.0,0.999999999448372,False,no,no,0.0,1.0,False,"{""A"": 0.0, ""B"": 0.9999999964029336, ""C"": 3.597066483397835e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999999990261, ""C"": 9.739329000490714e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999994483719, ""C"": 5.51628014273259e-10, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999964029336, ""unknown"": 3.597066483397835e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999990261, ""unknown"": 9.739329000490714e-13, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.999999999448372, ""unknown"": 5.516280142732591e-10, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step1,wall_up,no,no,B,B,B,no,no,no,0.0,0.9999999988322035,False,0.0,0.9999999999988357,False,1.1911849587104164e-07,0.9999998711036625,False,no,no,0.0,1.0,False,"{""A"": 0.0, ""B"": 0.9999999988322035, ""C"": 1.1677965126421892e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999999988356, ""C"": 1.1643429364582587e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.1911849587104164e-07, ""B"": 0.9999998711036625, ""C"": 9.777841569655348e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999988322035, ""unknown"": 1.1677965126421892e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999988357, ""unknown"": 1.1643429364582589e-12, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999998711036625, ""unknown"": 9.777841569655348e-09, ""yes"": 1.1911849587104164e-07}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step2,wall_down,no,no,B,B,B,no,no,no,0.0,0.999999997818269,False,0.0,0.9999999999988356,False,0.0,0.9999999968255999,False,no,no,0.0,1.0,False,"{""A"": 0.0, ""B"": 0.999999997818269, ""C"": 2.1817311138640686e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999999988356, ""C"": 1.1643473780802092e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999968255999, ""C"": 3.1744000332833446e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.999999997818269, ""unknown"": 2.1817311138640686e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999988356, ""unknown"": 1.1643473780802092e-12, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999968255999, ""unknown"": 3.1744000332833446e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step2,wall_left,yes,yes,A,A,A,yes,yes,yes,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,yes,yes,1.0,0.0,True,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}"
