example_id,question_id,ground_truth_label,greedy_answer,raw_argmax_t0,raw_argmax_t07,raw_argmax_t1,semantic_argmax_t0,semantic_argmax_t07,semantic_argmax_t1,p_yes_t0,p_no_t0,yes_gt_no_t0,p_yes_t07,p_no_t07,yes_gt_no_t07,p_yes_t1,p_no_t1,yes_gt_no_t1,mc_answer,mc_yes_no_answer,mc_p_yes,mc_p_no,mc_yes_gt_no,raw_answer_probs_t0_json,raw_answer_probs_t07_json,raw_answer_probs_t1_json,answer_probs_t0_json,answer_probs_t07_json,answer_probs_t1_json,mc_answer_probs_json
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,wall_down,no,no,B,B,B,no,no,no,0.0,0.9999999964029336,False,5.699959265184024e-13,0.999999999995366,False,0.0,0.999999993279795,False,no,no,0.0,1.0,False,"{""A"": 0.0, ""B"": 0.9999999964029336, ""C"": 3.5970664814502266e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 5.699959265184023e-13, ""B"": 0.9999999999953659, ""C"": 4.063971671113047e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.999999993279795, ""C"": 6.720204895234814e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999964029336, ""unknown"": 3.5970664814502266e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.999999999995366, ""unknown"": 4.063971671113048e-12, ""yes"": 5.699959265184024e-13}","{""invalid"": 0.0, ""no"": 0.999999993279795, ""unknown"": 6.720204895234814e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,wall_left,yes,yes,A,A,A,yes,yes,yes,1.0,0.0,True,1.0,0.0,True,0.9999999857733246,1.422667535985484e-08,True,yes,yes,1.0,0.0,True,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.9999999857733246, ""B"": 1.422667535985484e-08, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 1.422667535985484e-08, ""unknown"": 0.0, ""yes"": 0.9999999857733246}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,wall_right,no,no,B,B,B,no,no,no,0.0,0.999999998300866,False,0.0,0.9999999999995233,False,0.0,0.9999999985005197,False,no,no,0.0,1.0,False,"{""A"": 0.0, ""B"": 0.999999998300866, ""C"": 1.6991339014667487e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999999995233, ""C"": 4.767820273137496e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999985005197, ""C"": 1.4994804054202616e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.999999998300866, ""unknown"": 1.6991339014667487e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999995233, ""unknown"": 4.767820273137496e-13, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999985005197, ""unknown"": 1.4994804054202616e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step0,wall_up,no,no,B,B,B,no,no,no,0.0,0.9999999975277748,False,0.0,0.9999999999983359,False,1.1079745676574431e-08,0.999999958802383,False,no,no,0.0,1.0,False,"{""A"": 0.0, ""B"": 0.9999999975277747, ""C"": 2.4722252347806084e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999999983358, ""C"": 1.6641264431246548e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.1079745676574431e-08, ""B"": 0.999999958802383, ""C"": 3.0117871336579944e-08, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999975277748, ""unknown"": 2.4722252347806088e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999983359, ""unknown"": 1.664126443124655e-12, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.999999958802383, ""unknown"": 3.0117871336579944e-08, ""yes"": 1.1079745676574431e-08}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step1,wall_down,no,no,B,B,B,no,no,no,2.801398172974323e-09,0.999999989583612,False,0.0,0.9999999999980105,False,9.094808286437835e-10,0.9999999865355236,False,no,no,0.0,1.0,False,"{""A"": 2.801398172974323e-09, ""B"": 0.999999989583612, ""C"": 7.614989747874472e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999999980105, ""C"": 1.9894812679127242e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 9.094808286437835e-10, ""B"": 0.9999999865355236, ""C"": 1.2554995569818885e-08, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.999999989583612, ""unknown"": 7.614989747874472e-09, ""yes"": 2.801398172974323e-09}","{""invalid"": 0.0, ""no"": 0.9999999999980105, ""unknown"": 1.9894812679127242e-12, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999865355236, ""unknown"": 1.2554995569818885e-08, ""yes"": 9.094808286437835e-10}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step1,wall_left,yes,yes,A,A,A,yes,yes,yes,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,yes,yes,1.0,0.0,True,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step1,wall_right,no,no,B,B,B,no,no,no,0.0,0.9999999964029336,False,0.0,0.9999999999991853,False,0.0,0.9999999988322035,False,no,no,0.0,1.0,False,"{""A"": 0.0, ""B"": 0.9999999964029336, ""C"": 3.597066483397835e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999999991853, ""C"": 8.146614404537848e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999988322035, ""C"": 1.167796513275969e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999964029336, ""unknown"": 3.597066483397835e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999991853, ""unknown"": 8.146614404537848e-13, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999988322035, ""unknown"": 1.167796513275969e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_0_step1,wall_up,no,no,B,B,B,no,no,no,0.0,0.9999999964029336,False,0.0,0.9999999999995233,False,0.0,0.9999999947662985,False,no,no,0.0,1.0,False,"{""A"": 0.0, ""B"": 0.9999999964029336, ""C"": 3.597066483397835e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999999995233, ""C"": 4.767802085376662e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999947662985, ""C"": 5.233701462847791e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999964029336, ""unknown"": 3.597066483397835e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999999995233, ""unknown"": 4.767802085376662e-13, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999947662985, ""unknown"": 5.233701462847791e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_1_step0,wall_down,no,no,B,B,B,no,no,no,3.7912801981287224e-10,0.9999999982975851,False,0.0,0.9999999999990261,False,0.0,0.9999999940694401,False,no,no,0.0,1.0,False,"{""A"": 3.7912801981287224e-10, ""B"": 0.9999999982975851, ""C"": 1.3232868139303122e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999999990261, ""C"": 9.739329000494119e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999940694401, ""C"": 5.930560016327348e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999982975851, ""unknown"": 1.3232868139303122e-09, ""yes"": 3.7912801981287224e-10}","{""invalid"": 0.0, ""no"": 0.9999999999990261, ""unknown"": 9.739329000494119e-13, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999940694401, ""unknown"": 5.930560016327348e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_size7_comp0.0_1_step0,wall_left,no,no,B,B,B,no,no,no,0.0,0.9999999923850103,False,0.0,1.0,False,0.0,0.9999999968255999,False,no,no,0.0,1.0,False,"{""A"": 0.0, ""B"": 0.9999999923850101, ""C"": 7.614989748659152e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 1.0, ""C"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 0.0, ""B"": 0.9999999968255999, ""C"": 3.1744000365264964e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999923850103, ""unknown"": 7.614989748659153e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999968255999, ""unknown"": 3.1744000365264964e-09, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 1.0, ""unknown"": 0.0, ""yes"": 0.0}"
