example_id,trajectory_id,source_file,model_name,step_index,grid_text,carrying_key,observed_action,is_optimal_action,wall_hit,current_position,next_position,canonical_state,current_optimal_distance,next_optimal_distance,trajectory_actual_length,trajectory_recomputed_optimal_length,trajectory_length_delta,trajectory_reached_goal,stored_astar_distance,stored_astar_suspicious,trajectory_class,primary_step_failure_mode,is_failure_onset,is_terminal_failure_tail,is_pre_failure_context,pre_failure_for_step_index,selection_stage,selected_for_probe,selection_reason,probe_truths_json,optimal_actions_json,legacy_optimal_actions_json,failure_modes_json
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0.json,together_ai/openai/gpt-oss-20b,0,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ # _ K _ # 
3 # _ _ _ # A _ _ # 
4 # _ # # # D # # # 
5 # _ _ _ _ _ _ G # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # ",False,RIGHT,True,False,"5,3","6,3","  0 1 2 3 4 5 6 7 8
0 # # # # # # # # #
1 # _ _ _ # _ _ _ #
2 # _ _ _ # _ K _ #
3 # _ _ _ # A _ _ #
4 # _ # # # D # # #
5 # _ _ _ _ _ _ G #
6 # _ _ _ # _ _ _ #
7 # _ _ _ # _ _ _ #
8 # # # # # # # # #",8,7,8,8,0,True,8,False,optimal_success,none,False,False,False,,failure,False,,"{""agent_location"": {""col"": 5, ""row"": 3}, ""agent_location_after_down"": {""col"": 5, ""row"": 3}, ""agent_location_after_left"": {""col"": 5, ""row"": 3}, ""agent_location_after_right"": {""col"": 6, ""row"": 3}, ""agent_location_after_up"": {""col"": 5, ""row"": 2}, ""door_location"": {""col"": 5, ""row"": 4}, ""door_open"": ""no"", ""door_open_after_down"": ""no"", ""door_open_after_left"": ""no"", ""door_open_after_right"": ""no"", ""door_open_after_up"": ""no"", ""goal_location"": {""col"": 7, ""row"": 5}, ""has_key"": ""no"", ""has_key_after_down"": ""no"", ""has_key_after_left"": ""no"", ""has_key_after_right"": ""no"", ""has_key_after_up"": ""no"", ""hit_wall_after_down"": ""no"", ""hit_wall_after_left"": ""yes"", ""hit_wall_after_right"": ""no"", ""hit_wall_after_up"": ""no"", ""is_door_down"": ""yes"", ""is_door_left"": ""no"", ""is_door_right"": ""no"", ""is_door_up"": ""no"", ""is_goal_down"": ""no"", ""is_goal_left"": ""no"", ""is_goal_right"": ""no"", ""is_goal_up"": ""no"", ""is_key_down"": ""no"", ""is_key_left"": ""no"", ""is_key_right"": ""no"", ""is_key_up"": ""no"", ""key_location"": {""col"": 6, ""row"": 2}, ""wall_down"": ""no"", ""wall_left"": ""yes"", ""wall_right"": ""no"", ""wall_up"": ""no""}","[""RIGHT"", ""UP""]","[""DOWN""]",[]
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0.json,together_ai/openai/gpt-oss-20b,1,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ # _ K _ # 
3 # _ _ _ # _ A _ # 
4 # _ # # # D # # # 
5 # _ _ _ _ _ _ G # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # ",False,UP,True,False,"6,3","6,2","  0 1 2 3 4 5 6 7 8
0 # # # # # # # # #
1 # _ _ _ # _ _ _ #
2 # _ _ _ # _ K _ #
3 # _ _ _ # _ A _ #
4 # _ # # # D # # #
5 # _ _ _ _ _ _ G #
6 # _ _ _ # _ _ _ #
7 # _ _ _ # _ _ _ #
8 # # # # # # # # #",7,6,8,8,0,True,8,False,optimal_success,none,False,False,True,2,context,True,pre_failure_context,"{""agent_location"": {""col"": 6, ""row"": 3}, ""agent_location_after_down"": {""col"": 6, ""row"": 3}, ""agent_location_after_left"": {""col"": 5, ""row"": 3}, ""agent_location_after_right"": {""col"": 7, ""row"": 3}, ""agent_location_after_up"": {""col"": 6, ""row"": 2}, ""door_location"": {""col"": 5, ""row"": 4}, ""door_open"": ""no"", ""door_open_after_down"": ""no"", ""door_open_after_left"": ""no"", ""door_open_after_right"": ""no"", ""door_open_after_up"": ""no"", ""goal_location"": {""col"": 7, ""row"": 5}, ""has_key"": ""no"", ""has_key_after_down"": ""no"", ""has_key_after_left"": ""no"", ""has_key_after_right"": ""no"", ""has_key_after_up"": ""yes"", ""hit_wall_after_down"": ""yes"", ""hit_wall_after_left"": ""no"", ""hit_wall_after_right"": ""no"", ""hit_wall_after_up"": ""no"", ""is_door_down"": ""no"", ""is_door_left"": ""no"", ""is_door_right"": ""no"", ""is_door_up"": ""no"", ""is_goal_down"": ""no"", ""is_goal_left"": ""no"", ""is_goal_right"": ""no"", ""is_goal_up"": ""no"", ""is_key_down"": ""no"", ""is_key_left"": ""no"", ""is_key_right"": ""no"", ""is_key_up"": ""yes"", ""key_location"": {""col"": 6, ""row"": 2}, ""wall_down"": ""yes"", ""wall_left"": ""no"", ""wall_right"": ""no"", ""wall_up"": ""no""}","[""UP""]","[""LEFT""]",[]
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0.json,together_ai/openai/gpt-oss-20b,2,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ # _ A _ # 
3 # _ _ _ # _ _ _ # 
4 # _ # # # D # # # 
5 # _ _ _ _ _ _ G # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # ",True,DOWN,True,False,"6,2","6,3","  0 1 2 3 4 5 6 7 8
0 # # # # # # # # #
1 # _ _ _ # _ _ _ #
2 # _ _ _ # _ A _ #
3 # _ _ _ # _ _ _ #
4 # _ # # # D # # #
5 # _ _ _ _ _ _ G #
6 # _ _ _ # _ _ _ #
7 # _ _ _ # _ _ _ #
8 # # # # # # # # #",6,5,8,8,0,True,8,False,optimal_success,backtrack,True,False,False,,failure,True,backtrack,"{""agent_location"": {""col"": 6, ""row"": 2}, ""agent_location_after_down"": {""col"": 6, ""row"": 3}, ""agent_location_after_left"": {""col"": 5, ""row"": 2}, ""agent_location_after_right"": {""col"": 7, ""row"": 2}, ""agent_location_after_up"": {""col"": 6, ""row"": 1}, ""door_location"": {""col"": 5, ""row"": 4}, ""door_open"": ""no"", ""door_open_after_down"": ""no"", ""door_open_after_left"": ""no"", ""door_open_after_right"": ""no"", ""door_open_after_up"": ""no"", ""goal_location"": {""col"": 7, ""row"": 5}, ""has_key"": ""yes"", ""has_key_after_down"": ""yes"", ""has_key_after_left"": ""yes"", ""has_key_after_right"": ""yes"", ""has_key_after_up"": ""yes"", ""hit_wall_after_down"": ""no"", ""hit_wall_after_left"": ""no"", ""hit_wall_after_right"": ""no"", ""hit_wall_after_up"": ""no"", ""is_door_down"": ""no"", ""is_door_left"": ""no"", ""is_door_right"": ""no"", ""is_door_up"": ""no"", ""is_goal_down"": ""no"", ""is_goal_left"": ""no"", ""is_goal_right"": ""no"", ""is_goal_up"": ""no"", ""is_key_down"": ""no"", ""is_key_left"": ""no"", ""is_key_right"": ""no"", ""is_key_up"": ""no"", ""key_location"": {""col"": -1, ""row"": -1}, ""wall_down"": ""no"", ""wall_left"": ""no"", ""wall_right"": ""no"", ""wall_up"": ""no""}","[""DOWN"", ""LEFT""]","[""DOWN"", ""LEFT""]","[""backtrack""]"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0.json,together_ai/openai/gpt-oss-20b,3,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ # _ _ _ # 
3 # _ _ _ # _ A _ # 
4 # _ # # # D # # # 
5 # _ _ _ _ _ _ G # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # ",True,LEFT,True,False,"6,3","5,3","  0 1 2 3 4 5 6 7 8
0 # # # # # # # # #
1 # _ _ _ # _ _ _ #
2 # _ _ _ # _ _ _ #
3 # _ _ _ # _ A _ #
4 # _ # # # D # # #
5 # _ _ _ _ _ _ G #
6 # _ _ _ # _ _ _ #
7 # _ _ _ # _ _ _ #
8 # # # # # # # # #",5,4,8,8,0,True,8,False,optimal_success,short_loop,False,False,False,,failure,True,short_loop_onset,"{""agent_location"": {""col"": 6, ""row"": 3}, ""agent_location_after_down"": {""col"": 6, ""row"": 3}, ""agent_location_after_left"": {""col"": 5, ""row"": 3}, ""agent_location_after_right"": {""col"": 7, ""row"": 3}, ""agent_location_after_up"": {""col"": 6, ""row"": 2}, ""door_location"": {""col"": 5, ""row"": 4}, ""door_open"": ""no"", ""door_open_after_down"": ""no"", ""door_open_after_left"": ""no"", ""door_open_after_right"": ""no"", ""door_open_after_up"": ""no"", ""goal_location"": {""col"": 7, ""row"": 5}, ""has_key"": ""yes"", ""has_key_after_down"": ""yes"", ""has_key_after_left"": ""yes"", ""has_key_after_right"": ""yes"", ""has_key_after_up"": ""yes"", ""hit_wall_after_down"": ""yes"", ""hit_wall_after_left"": ""no"", ""hit_wall_after_right"": ""no"", ""hit_wall_after_up"": ""no"", ""is_door_down"": ""no"", ""is_door_left"": ""no"", ""is_door_right"": ""no"", ""is_door_up"": ""no"", ""is_goal_down"": ""no"", ""is_goal_left"": ""no"", ""is_goal_right"": ""no"", ""is_goal_up"": ""no"", ""is_key_down"": ""no"", ""is_key_left"": ""no"", ""is_key_right"": ""no"", ""is_key_up"": ""no"", ""key_location"": {""col"": -1, ""row"": -1}, ""wall_down"": ""yes"", ""wall_left"": ""no"", ""wall_right"": ""no"", ""wall_up"": ""no""}","[""LEFT""]","[""LEFT""]","[""short_loop""]"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_004,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0.json,together_ai/openai/gpt-oss-20b,4,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ # _ _ _ # 
3 # _ _ _ # A _ _ # 
4 # _ # # # _ # # # 
5 # _ _ _ _ _ _ G # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # ",True,DOWN,True,False,"5,3","5,4","  0 1 2 3 4 5 6 7 8
0 # # # # # # # # #
1 # _ _ _ # _ _ _ #
2 # _ _ _ # _ _ _ #
3 # _ _ _ # A _ _ #
4 # _ # # # _ # # #
5 # _ _ _ _ _ _ G #
6 # _ _ _ # _ _ _ #
7 # _ _ _ # _ _ _ #
8 # # # # # # # # #",4,3,8,8,0,True,8,False,optimal_success,none,False,False,False,,failure,False,,"{""agent_location"": {""col"": 5, ""row"": 3}, ""agent_location_after_down"": {""col"": 5, ""row"": 4}, ""agent_location_after_left"": {""col"": 5, ""row"": 3}, ""agent_location_after_right"": {""col"": 6, ""row"": 3}, ""agent_location_after_up"": {""col"": 5, ""row"": 2}, ""door_location"": {""col"": -1, ""row"": -1}, ""door_open"": ""no"", ""door_open_after_down"": ""no"", ""door_open_after_left"": ""no"", ""door_open_after_right"": ""no"", ""door_open_after_up"": ""no"", ""goal_location"": {""col"": 7, ""row"": 5}, ""has_key"": ""yes"", ""has_key_after_down"": ""yes"", ""has_key_after_left"": ""yes"", ""has_key_after_right"": ""yes"", ""has_key_after_up"": ""yes"", ""hit_wall_after_down"": ""no"", ""hit_wall_after_left"": ""yes"", ""hit_wall_after_right"": ""no"", ""hit_wall_after_up"": ""no"", ""is_door_down"": ""no"", ""is_door_left"": ""no"", ""is_door_right"": ""no"", ""is_door_up"": ""no"", ""is_goal_down"": ""no"", ""is_goal_left"": ""no"", ""is_goal_right"": ""no"", ""is_goal_up"": ""no"", ""is_key_down"": ""no"", ""is_key_left"": ""no"", ""is_key_right"": ""no"", ""is_key_up"": ""no"", ""key_location"": {""col"": -1, ""row"": -1}, ""wall_down"": ""no"", ""wall_left"": ""yes"", ""wall_right"": ""no"", ""wall_up"": ""no""}","[""DOWN""]","[""DOWN""]",[]
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_005,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0.json,together_ai/openai/gpt-oss-20b,5,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ # _ _ _ # 
3 # _ _ _ # _ _ _ # 
4 # _ # # # A # # # 
5 # _ _ _ _ _ _ G # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # ",True,DOWN,True,False,"5,4","5,5","  0 1 2 3 4 5 6 7 8
0 # # # # # # # # #
1 # _ _ _ # _ _ _ #
2 # _ _ _ # _ _ _ #
3 # _ _ _ # _ _ _ #
4 # _ # # # A # # #
5 # _ _ _ _ _ _ G #
6 # _ _ _ # _ _ _ #
7 # _ _ _ # _ _ _ #
8 # # # # # # # # #",3,2,8,8,0,True,8,False,optimal_success,none,False,False,False,,failure,False,,"{""agent_location"": {""col"": 5, ""row"": 4}, ""agent_location_after_down"": {""col"": 5, ""row"": 5}, ""agent_location_after_left"": {""col"": 5, ""row"": 4}, ""agent_location_after_right"": {""col"": 5, ""row"": 4}, ""agent_location_after_up"": {""col"": 5, ""row"": 3}, ""door_location"": {""col"": -1, ""row"": -1}, ""door_open"": ""no"", ""door_open_after_down"": ""no"", ""door_open_after_left"": ""no"", ""door_open_after_right"": ""no"", ""door_open_after_up"": ""no"", ""goal_location"": {""col"": 7, ""row"": 5}, ""has_key"": ""yes"", ""has_key_after_down"": ""yes"", ""has_key_after_left"": ""yes"", ""has_key_after_right"": ""yes"", ""has_key_after_up"": ""yes"", ""hit_wall_after_down"": ""no"", ""hit_wall_after_left"": ""yes"", ""hit_wall_after_right"": ""yes"", ""hit_wall_after_up"": ""no"", ""is_door_down"": ""no"", ""is_door_left"": ""no"", ""is_door_right"": ""no"", ""is_door_up"": ""no"", ""is_goal_down"": ""no"", ""is_goal_left"": ""no"", ""is_goal_right"": ""no"", ""is_goal_up"": ""no"", ""is_key_down"": ""no"", ""is_key_left"": ""no"", ""is_key_right"": ""no"", ""is_key_up"": ""no"", ""key_location"": {""col"": -1, ""row"": -1}, ""wall_down"": ""no"", ""wall_left"": ""yes"", ""wall_right"": ""yes"", ""wall_up"": ""no""}","[""DOWN""]","[""DOWN""]",[]
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_006,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0.json,together_ai/openai/gpt-oss-20b,6,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ # _ _ _ # 
3 # _ _ _ # _ _ _ # 
4 # _ # # # _ # # # 
5 # _ _ _ _ A _ G # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # ",True,RIGHT,True,False,"5,5","6,5","  0 1 2 3 4 5 6 7 8
0 # # # # # # # # #
1 # _ _ _ # _ _ _ #
2 # _ _ _ # _ _ _ #
3 # _ _ _ # _ _ _ #
4 # _ # # # _ # # #
5 # _ _ _ _ A _ G #
6 # _ _ _ # _ _ _ #
7 # _ _ _ # _ _ _ #
8 # # # # # # # # #",2,1,8,8,0,True,8,False,optimal_success,none,False,False,False,,failure,False,,"{""agent_location"": {""col"": 5, ""row"": 5}, ""agent_location_after_down"": {""col"": 5, ""row"": 6}, ""agent_location_after_left"": {""col"": 4, ""row"": 5}, ""agent_location_after_right"": {""col"": 6, ""row"": 5}, ""agent_location_after_up"": {""col"": 5, ""row"": 4}, ""door_location"": {""col"": -1, ""row"": -1}, ""door_open"": ""no"", ""door_open_after_down"": ""no"", ""door_open_after_left"": ""no"", ""door_open_after_right"": ""no"", ""door_open_after_up"": ""no"", ""goal_location"": {""col"": 7, ""row"": 5}, ""has_key"": ""yes"", ""has_key_after_down"": ""yes"", ""has_key_after_left"": ""yes"", ""has_key_after_right"": ""yes"", ""has_key_after_up"": ""yes"", ""hit_wall_after_down"": ""no"", ""hit_wall_after_left"": ""no"", ""hit_wall_after_right"": ""no"", ""hit_wall_after_up"": ""no"", ""is_door_down"": ""no"", ""is_door_left"": ""no"", ""is_door_right"": ""no"", ""is_door_up"": ""no"", ""is_goal_down"": ""no"", ""is_goal_left"": ""no"", ""is_goal_right"": ""no"", ""is_goal_up"": ""no"", ""is_key_down"": ""no"", ""is_key_left"": ""no"", ""is_key_right"": ""no"", ""is_key_up"": ""no"", ""key_location"": {""col"": -1, ""row"": -1}, ""wall_down"": ""no"", ""wall_left"": ""no"", ""wall_right"": ""no"", ""wall_up"": ""no""}","[""RIGHT""]","[""RIGHT""]",[]
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_007,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0.json,together_ai/openai/gpt-oss-20b,7,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ # _ _ _ # 
3 # _ _ _ # _ _ _ # 
4 # _ # # # _ # # # 
5 # _ _ _ _ _ A G # 
6 # _ _ _ # _ _ _ # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # ",True,RIGHT,True,False,"6,5","7,5","  0 1 2 3 4 5 6 7 8
0 # # # # # # # # #
1 # _ _ _ # _ _ _ #
2 # _ _ _ # _ _ _ #
3 # _ _ _ # _ _ _ #
4 # _ # # # _ # # #
5 # _ _ _ _ _ A G #
6 # _ _ _ # _ _ _ #
7 # _ _ _ # _ _ _ #
8 # # # # # # # # #",1,0,8,8,0,True,8,False,optimal_success,none,False,False,False,,failure,False,,"{""agent_location"": {""col"": 6, ""row"": 5}, ""agent_location_after_down"": {""col"": 6, ""row"": 6}, ""agent_location_after_left"": {""col"": 5, ""row"": 5}, ""agent_location_after_right"": {""col"": 7, ""row"": 5}, ""agent_location_after_up"": {""col"": 6, ""row"": 5}, ""door_location"": {""col"": -1, ""row"": -1}, ""door_open"": ""no"", ""door_open_after_down"": ""no"", ""door_open_after_left"": ""no"", ""door_open_after_right"": ""no"", ""door_open_after_up"": ""no"", ""goal_location"": {""col"": 7, ""row"": 5}, ""has_key"": ""yes"", ""has_key_after_down"": ""yes"", ""has_key_after_left"": ""yes"", ""has_key_after_right"": ""yes"", ""has_key_after_up"": ""yes"", ""hit_wall_after_down"": ""no"", ""hit_wall_after_left"": ""no"", ""hit_wall_after_right"": ""no"", ""hit_wall_after_up"": ""yes"", ""is_door_down"": ""no"", ""is_door_left"": ""no"", ""is_door_right"": ""no"", ""is_door_up"": ""no"", ""is_goal_down"": ""no"", ""is_goal_left"": ""no"", ""is_goal_right"": ""yes"", ""is_goal_up"": ""no"", ""is_key_down"": ""no"", ""is_key_left"": ""no"", ""is_key_right"": ""no"", ""is_key_up"": ""no"", ""key_location"": {""col"": -1, ""row"": -1}, ""wall_down"": ""no"", ""wall_left"": ""no"", ""wall_right"": ""no"", ""wall_up"": ""yes""}","[""RIGHT""]","[""RIGHT""]",[]
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_1_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_1,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_1.json,together_ai/openai/gpt-oss-20b,0,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ _ _ _ _ # 
3 # _ _ _ # _ _ _ # 
4 # # # # # _ # # # 
5 # _ K _ D _ _ _ # 
6 # _ _ _ # _ _ G # 
7 # A _ _ # _ _ _ # 
8 # # # # # # # # # ",False,UP,True,False,"1,7","1,6","  0 1 2 3 4 5 6 7 8
0 # # # # # # # # #
1 # _ _ _ # _ _ _ #
2 # _ _ _ _ _ _ _ #
3 # _ _ _ # _ _ _ #
4 # # # # # _ # # #
5 # _ K _ D _ _ _ #
6 # _ _ _ # _ _ G #
7 # A _ _ # _ _ _ #
8 # # # # # # # # #",9,8,9,9,0,True,21,True,optimal_success,none,False,False,False,,failure,False,,"{""agent_location"": {""col"": 1, ""row"": 7}, ""agent_location_after_down"": {""col"": 1, ""row"": 7}, ""agent_location_after_left"": {""col"": 1, ""row"": 7}, ""agent_location_after_right"": {""col"": 2, ""row"": 7}, ""agent_location_after_up"": {""col"": 1, ""row"": 6}, ""door_location"": {""col"": 4, ""row"": 5}, ""door_open"": ""no"", ""door_open_after_down"": ""no"", ""door_open_after_left"": ""no"", ""door_open_after_right"": ""no"", ""door_open_after_up"": ""no"", ""goal_location"": {""col"": 7, ""row"": 6}, ""has_key"": ""no"", ""has_key_after_down"": ""no"", ""has_key_after_left"": ""no"", ""has_key_after_right"": ""no"", ""has_key_after_up"": ""no"", ""hit_wall_after_down"": ""yes"", ""hit_wall_after_left"": ""yes"", ""hit_wall_after_right"": ""no"", ""hit_wall_after_up"": ""no"", ""is_door_down"": ""no"", ""is_door_left"": ""no"", ""is_door_right"": ""no"", ""is_door_up"": ""no"", ""is_goal_down"": ""no"", ""is_goal_left"": ""no"", ""is_goal_right"": ""no"", ""is_goal_up"": ""no"", ""is_key_down"": ""no"", ""is_key_left"": ""no"", ""is_key_right"": ""no"", ""is_key_up"": ""no"", ""key_location"": {""col"": 2, ""row"": 5}, ""wall_down"": ""yes"", ""wall_left"": ""yes"", ""wall_right"": ""no"", ""wall_up"": ""no""}","[""RIGHT"", ""UP""]","[""RIGHT"", ""UP""]",[]
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_1_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_1,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_1.json,together_ai/openai/gpt-oss-20b,1,"  0 1 2 3 4 5 6 7 8 
0 # # # # # # # # # 
1 # _ _ _ # _ _ _ # 
2 # _ _ _ _ _ _ _ # 
3 # _ _ _ # _ _ _ # 
4 # # # # # _ # # # 
5 # _ K _ D _ _ _ # 
6 # A _ _ # _ _ G # 
7 # _ _ _ # _ _ _ # 
8 # # # # # # # # # ",False,UP,True,False,"1,6","1,5","  0 1 2 3 4 5 6 7 8
0 # # # # # # # # #
1 # _ _ _ # _ _ _ #
2 # _ _ _ _ _ _ _ #
3 # _ _ _ # _ _ _ #
4 # # # # # _ # # #
5 # _ K _ D _ _ _ #
6 # A _ _ # _ _ G #
7 # _ _ _ # _ _ _ #
8 # # # # # # # # #",8,7,9,9,0,True,21,True,optimal_success,none,False,False,False,,failure,False,,"{""agent_location"": {""col"": 1, ""row"": 6}, ""agent_location_after_down"": {""col"": 1, ""row"": 7}, ""agent_location_after_left"": {""col"": 1, ""row"": 6}, ""agent_location_after_right"": {""col"": 2, ""row"": 6}, ""agent_location_after_up"": {""col"": 1, ""row"": 5}, ""door_location"": {""col"": 4, ""row"": 5}, ""door_open"": ""no"", ""door_open_after_down"": ""no"", ""door_open_after_left"": ""no"", ""door_open_after_right"": ""no"", ""door_open_after_up"": ""no"", ""goal_location"": {""col"": 7, ""row"": 6}, ""has_key"": ""no"", ""has_key_after_down"": ""no"", ""has_key_after_left"": ""no"", ""has_key_after_right"": ""no"", ""has_key_after_up"": ""no"", ""hit_wall_after_down"": ""no"", ""hit_wall_after_left"": ""yes"", ""hit_wall_after_right"": ""no"", ""hit_wall_after_up"": ""no"", ""is_door_down"": ""no"", ""is_door_left"": ""no"", ""is_door_right"": ""no"", ""is_door_up"": ""no"", ""is_goal_down"": ""no"", ""is_goal_left"": ""no"", ""is_goal_right"": ""no"", ""is_goal_up"": ""no"", ""is_key_down"": ""no"", ""is_key_left"": ""no"", ""is_key_right"": ""no"", ""is_key_up"": ""no"", ""key_location"": {""col"": 2, ""row"": 5}, ""wall_down"": ""no"", ""wall_left"": ""yes"", ""wall_right"": ""no"", ""wall_up"": ""no""}","[""RIGHT"", ""UP""]","[""RIGHT"", ""UP""]",[]
