pipeline,stage,producer,primary_inputs,primary_outputs,artifact_kind,provenance_or_dependency,remote_backup
maze_smoke,freeze_plan,scripts/run_maze_smoke_test.py,"configs/maze_smoke_test.json","smoke_test/config.lock.json; smoke_test/grids.jsonl; smoke_test/api_schedule.jsonl",configuration,"Run plan before query; config.lock.json freezes target model IDs/revisions and decoding settings",GitHub branch
maze_smoke,query_api,scripts/run_maze_smoke_test.py,"smoke_test/config.lock.json; smoke_test/grids.jsonl; smoke_test/api_schedule.jsonl",smoke_test/raw_api_calls.jsonl,raw,"Append-only and resumable; provider text/reasoning/errors/tokens",GitHub branch
maze_smoke,analyse,scripts/run_maze_smoke_test.py,smoke_test/raw_api_calls.jsonl,"smoke_test/api_calls.csv; smoke_test/api_results.csv; smoke_test/condition_summary.csv; smoke_test/api_summary.md",derived,"Regenerate from raw_api_calls.jsonl with --stage analyze",GitHub branch
maze_smoke,package,scripts/package_maze_smoke_test.sh,smoke_test/,smoke_test/maze_smoke_test_portable.tar.gz,archive,"SHA-256 stored beside archive",GitHub branch
maze_local,preflight,scripts/run_maze_local_preflight.py,"smoke_test/config.lock.json; exact pinned model checkpoint","smoke_test/local_preflight_records.jsonl; smoke_test/local_preflight.md; safetensors files",raw_and_report,"Run once per target model; records model revision and measured VRAM",Verify presence before migration
maze_local,replay,src/reveng/experiments/maze_local_replay.py,"collection config.lock.json; raw_api_calls.jsonl; exact pinned checkpoint","replay_manifest.jsonl; activation_index.parquet; safetensors shards",derived_raw,"Teacher-forces saved completion; never samples replacement tokens",Output-directory specific
gpt_oss_pilot,query,src/reveng/experiments/gpt_oss_maze_cot_120_runner.py,"grid_manifest.jsonl; trajectory_schedule.jsonl",data/gpt_oss_maze_cot_120_pilot/raw_api_calls.jsonl,raw,"Provider records for GPT-OSS trajectory pilot",GitHub branch
gpt_oss_pilot,analyse,src/reveng/experiments/gpt_oss_maze_cot_120_runner.py,data/gpt_oss_maze_cot_120_pilot/raw_api_calls.jsonl,"calls.csv; trajectories.csv; summary.csv; report.md",derived,"Tables and report derived from raw JSONL",GitHub branch
semantic,prepare,scripts/prepare_general_semantic_labeling.py,"data/behavioral_probes/doorkey_chunking_validation/sentences.csv; final_analysis inventory/labels","general_corpus_v1/sentence_inventory.csv; calibration files; preparation_manifest.json",prepared_input,"preparation_manifest.json records source paths and hashes",Original inventory on Hugging Face
semantic,label_together,scripts/run_general_semantic_together_multilabel_labeler.py,"sentence_inventory.csv; few_shot_examples_multilabel.json","annotations_gpt_oss_20b_multilabel_v3_full.csv; adjacent manifest/status",raw_judge_output,"CSV includes raw_response; manifest freezes judge/prompt/schema/few-shot/input hashes",Original run on Hugging Face
