question_id,matched_role,n_probe_rows,mean_belief_error_rate,mean_entropy_bits
door_open,control,3396,0.0,0.10600883564311506
door_open,failure,3688,0.0,0.10071040514186202
has_key,control,3396,0.0014723203769140165,0.09439254912037373
has_key,failure,3688,0.005422993492407809,0.121207731015305
wall_down,control,3396,0.2850412249705536,0.5003064676344184
wall_down,failure,3688,0.42163774403470716,0.4957375408819881
wall_left,control,3396,0.24764428739693758,0.6834639828228373
wall_left,failure,3688,0.294468546637744,0.7015708329714762
wall_right,control,3396,0.23586572438162545,0.5489262652567529
wall_right,failure,3688,0.22288503253796096,0.5363745436577464
wall_up,control,3396,0.07391048292108363,0.6025279436606688
wall_up,failure,3688,0.12093275488069415,0.574542880248808
